Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup
8035.2,,,s,1.191,0.054,0.054,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
8121.6,,,s,1.18,0.053,0.053,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
8121.6,,,s,1.17,0.053,0.053,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
8208,,,s,1.138,0.051,0.051,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
8899.2,,,s,1.057,0.029,0.029,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
8985.6,,,s,1.047,0.029,0.029,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
9072,,,s,1.028,0.028,0.028,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
9158.4,,,s,0.991,0.036,0.036,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
10454.4,,,s,0.855,0.031,0.031,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
10540.8,,,s,0.84,0.03,0.03,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
10540.8,,,s,0.863,0.031,0.031,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
10627.2,,,s,0.832,0.023,0.023,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
11232,,,s,0.752,0.034,0.034,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
11318.4,,,s,0.759,0.021,0.021,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
11318.4,,,s,0.752,0.034,0.034,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
11318.4,,,s,0.766,0.021,0.021,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
11318.4,,,s,0.752,0.027,0.027,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
11404.8,,,s,0.731,0.026,0.026,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
11404.8,,,s,0.752,0.02,0.02,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
11491.2,,,s,0.759,0.021,0.021,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
12096,,,s,0.673,0.036,0.036,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
12182.4,,,s,0.686,0.019,0.019,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
12182.4,,,s,0.686,0.025,0.025,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
12268.8,,,s,0.667,0.018,0.018,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
12268.8,,,s,0.673,0.018,0.018,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
12355.2,,,s,0.679,0.019,0.019,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
13046.4,,,s,0.619,0.017,0.017,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
13219.2,,,s,0.619,0.017,0.017,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
18921.6,,,s,0.429,0.027,0.027,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
19008,,,s,0.387,0.024,0.024,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
19094.4,,,s,0.421,0.03,0.03,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
19785.6,,,s,0.402,0.029,0.029,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
19785.6,,,s,0.398,0.021,0.021,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
19872,,,s,0.387,0.017,0.017,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
19958.4,,,s,0.384,0.021,0.021,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
20649.6,,,s,0.377,0.017,0.017,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
20822.4,,,s,0.384,0.014,0.014,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
84585.6,,,s,0.084,0.006,0.006,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
84672,,,s,0.081,0.006,0.006,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
98755.2,,,s,0.069,0.004,0.004,mJy,Spectral Flux,6.47E+14,,,Hz,g,g_offset
4579.2,,,s,4.169,0.188,0.188,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset
4579.2,,,s,4.169,0.151,0.151,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset
5097.6,,,s,3.802,0.171,0.171,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset
5184,,,s,3.733,0.168,0.168,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset
5702.4,,,s,3.192,0.144,0.144,mJy,Spectral Flux,4.03E+14,,,Hz,i,i_offset
