Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Model,Frequency,FrequencyLower,FrequencyUpper,FrequencyUnits,,
342.1000224,,,seconds,0.383730438,0.01767144,0.01767144,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
444.0999744,,,seconds,0.310474723,0.011438312,0.011438312,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
544.3000416,,,seconds,0.260631107,0.009602005,0.009602005,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
646.2999936,,,seconds,0.229100612,0.008440378,0.008440378,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
764.5999968,,,seconds,0.207026647,0.007627144,0.007627144,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
865.7000064,,,seconds,0.183664935,0.006766466,0.006766466,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
967.6999584,,,seconds,0.175398651,0.004846444,0.004846444,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
1067.900026,,,seconds,0.162939451,0.006002911,0.006002911,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
1239.000019,,,seconds,0.145890243,0.005374795,0.005374795,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
1340.100029,,,seconds,0.139324101,0.00513289,0.00513289,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
1439.399981,,,seconds,0.135527132,0.004993004,0.004993004,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
1539.599962,,,seconds,0.128240809,0.004724566,0.004724566,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
1681.300022,,,seconds,0.128240809,0.004724566,0.004724566,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
1782.400032,,,seconds,0.12023371,0.00332218,0.00332218,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
1883.500042,,,seconds,0.118039198,0.004348725,0.004348725,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
1986.299971,,,seconds,0.11588474,0.003202014,0.003202014,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
2102.09999,,,seconds,0.112726559,0.004153,0.004153,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
2204.100029,,,seconds,0.108649129,0.004002782,0.004002782,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
2303.399981,,,seconds,0.106666059,0.003929723,0.003929723,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
2406.199997,,,seconds,0.104719184,0.003857997,0.003857997,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
2523.700022,,,seconds,0.101865295,0.003752856,0.003752856,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
2623.999968,,,seconds,0.099089183,0.00365058,0.00365058,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
2724.200035,,,seconds,0.099089183,0.00365058,0.00365058,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
2826.100022,,,seconds,0.094629435,0.003486277,0.003486277,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
2942.799984,,,seconds,0.091206596,0.003360175,0.003360175,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
3043.899994,,,seconds,0.090370409,0.002497027,0.002497027,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
3144.099974,,,seconds,0.088720963,0.002451451,0.002451451,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
3244.300042,,,seconds,0.088720963,0.003268601,0.003268601,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
3356.599997,,,seconds,0.086303071,0.003179523,0.003179523,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
3457.700006,,,seconds,0.085511839,0.003150373,0.003150373,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
3558.000038,,,seconds,0.083181404,0.003064516,0.003064516,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
3659.900026,,,seconds,0.080172652,0.00295367,0.00295367,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
3773.10001,,,seconds,0.082418793,0.003795526,0.003795526,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
3873.29999,,,seconds,0.078709336,0.003624699,0.003624699,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
3973.499971,,,seconds,0.08091448,0.002981,0.002981,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
4076.400038,,,seconds,0.076564288,0.002820733,0.002820733,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
4191.300029,,,seconds,0.075862343,0.00349359,0.00349359,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
4292.400038,,,seconds,0.069187279,0.002548954,0.002548954,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
4394.300026,,,seconds,0.073118328,0.003367223,0.003367223,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
4496.299978,,,seconds,0.073118328,0.002693779,0.002693779,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
4617.200016,,,seconds,0.069827461,0.005788212,0.005788212,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
4714.799962,,,seconds,0.075862343,0.004192308,0.004192308,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
4815.899971,,,seconds,0.073118328,0.004040668,0.004040668,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
4917.90001,,,seconds,0.064867364,0.004182154,0.004182154,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
76.5000288,,,seconds,1.21346219,0.212351596,0.212351596,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
115.8000192,,,seconds,0.946294354,0.139451089,0.139451089,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
154.8999936,,,seconds,0.794376246,0.146329512,0.146329512,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
233.4000096,,,seconds,0.613799102,0.113065973,0.113065973,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
342.1000224,,,seconds,0.444658142,0.012286359,0.012286359,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
444.0999744,,,seconds,0.353204517,0.009759401,0.009759401,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
544.3000416,,,seconds,0.29924455,0.008268432,0.008268432,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
646.2999936,,,seconds,0.260631107,0.007201504,0.007201504,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
764.5999968,,,seconds,0.229100612,0.008440378,0.008440378,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
865.7000064,,,seconds,0.208942241,0.005773287,0.005773287,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
967.6999584,,,seconds,0.195896307,0.005412815,0.005412815,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
1067.900026,,,seconds,0.188810546,0.005217028,0.005217028,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
1239.000019,,,seconds,0.169054311,0.006228191,0.006228191,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
1340.100029,,,seconds,0.159965471,0.004420009,0.004420009,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
1439.399981,,,seconds,0.154179364,0.004260133,0.004260133,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
1539.599962,,,seconds,0.151365273,0.004182377,0.004182377,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
1681.300022,,,seconds,0.145890243,0.005374795,0.005374795,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
1782.400032,,,seconds,0.139324101,0.003849667,0.003849667,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
1883.500042,,,seconds,0.136781149,0.003779403,0.003779403,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
1986.299971,,,seconds,0.134284612,0.003710421,0.003710421,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
2102.09999,,,seconds,0.12706509,0.004681251,0.004681251,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
2204.100029,,,seconds,0.12706509,0.003510938,0.003510938,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
2303.399981,,,seconds,0.12706509,0.004681251,0.004681251,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
2406.199997,,,seconds,0.118039198,0.004348725,0.004348725,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
2523.700022,,,seconds,0.116957008,0.004308855,0.004308855,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
2623.999968,,,seconds,0.113769605,0.00314357,0.00314357,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
2724.200035,,,seconds,0.112726559,0.00311475,0.00311475,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
2826.100022,,,seconds,0.108649129,0.004002782,0.004002782,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
2942.799984,,,seconds,0.107653028,0.003966084,0.003966084,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
3043.899994,,,seconds,0.105688139,0.002920271,0.002920271,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
3144.099974,,,seconds,0.104719184,0.002893498,0.002893498,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
3244.300042,,,seconds,0.101865295,0.003752856,0.003752856,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
3356.599997,,,seconds,0.100006044,0.003684359,0.003684359,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
3457.700006,,,seconds,0.098180728,0.002712834,0.002712834,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
3558.000038,,,seconds,0.096388728,0.002663319,0.002663319,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
3659.900026,,,seconds,0.096388728,0.003551092,0.003551092,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
3773.10001,,,seconds,0.092902254,0.003422646,0.003422646,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
3873.29999,,,seconds,0.095505031,0.003518535,0.003518535,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
3973.499971,,,seconds,0.092902254,0.003422646,0.003422646,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
4076.400038,,,seconds,0.086303071,0.003179523,0.003179523,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
4191.300029,,,seconds,0.087907565,0.003238634,0.003238634,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
4292.400038,,,seconds,0.086303071,0.003179523,0.003179523,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
4394.300026,,,seconds,0.082418793,0.003036421,0.003036421,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
4496.299978,,,seconds,0.083181404,0.003064516,0.003064516,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
4617.200016,,,seconds,0.08091448,0.00372625,0.00372625,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
4714.799962,,,seconds,0.079437625,0.00292659,0.00292659,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
4815.899971,,,seconds,0.077272729,0.002846833,0.002846833,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
4917.90001,,,seconds,0.083181404,0.003830645,0.003830645,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
342.1000224,,,seconds,0.461345458,0.016996595,0.016996595,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
444.0999744,,,seconds,0.366459723,0.013500875,0.013500875,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
544.3000416,,,seconds,0.293782721,0.008117517,0.008117517,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
646.2999936,,,seconds,0.265476601,0.009780519,0.009780519,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
764.5999968,,,seconds,0.227000205,0.008362997,0.008362997,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
865.7000064,,,seconds,0.214796029,0.007913378,0.007913378,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
967.6999584,,,seconds,0.199538291,0.007351262,0.007351262,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
1067.900026,,,seconds,0.183664935,0.006766466,0.006766466,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
1239.000019,,,seconds,0.170618551,0.00628582,0.00628582,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
1340.100029,,,seconds,0.169054311,0.006228191,0.006228191,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
1439.399981,,,seconds,0.151365273,0.005576503,0.005576503,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
1539.599962,,,seconds,0.149977548,0.005525377,0.005525377,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
1681.300022,,,seconds,0.145890243,0.006718494,0.006718494,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
1782.400032,,,seconds,0.144552714,0.005325519,0.005325519,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
1883.500042,,,seconds,0.136781149,0.005039204,0.005039204,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
