Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Model,Frequency,FrequencyLower,FrequencyUpper,FrequencyUnits,,
309,,,seconds,1.475207226,0.176633089,0.176633089,mjy,Spectral,SpectralFlux,8.20E+14,,,hz,,
319.2,,,seconds,1.129413647,0.156034262,0.156034262,mjy,Spectral,SpectralFlux,8.20E+14,,,hz,,
328.8,,,seconds,1.171798752,0.16188998,0.16188998,mjy,Spectral,SpectralFlux,8.20E+14,,,hz,,
339,,,seconds,1.193584117,0.153906424,0.153906424,mjy,Spectral,SpectralFlux,8.20E+14,,,hz,,
349.2,,,seconds,1.058895325,0.146291795,0.146291795,mjy,Spectral,SpectralFlux,8.20E+14,,,hz,,
358.8,,,seconds,1.068693163,0.147645417,0.147645417,mjy,Spectral,SpectralFlux,8.20E+14,,,hz,,
369,,,seconds,0.753100665,0.131789956,0.131789956,mjy,Spectral,SpectralFlux,8.20E+14,,,hz,,
379.2,,,seconds,0.965724014,0.14231435,0.14231435,mjy,Spectral,SpectralFlux,8.20E+14,,,hz,,
388.8,,,seconds,0.956870203,0.141009604,0.141009604,mjy,Spectral,SpectralFlux,8.20E+14,,,hz,,
399,,,seconds,0.739355029,0.129384518,0.129384518,mjy,Spectral,SpectralFlux,8.20E+14,,,hz,,
409.2,,,seconds,1.039568307,0.143621669,0.143621669,mjy,Spectral,SpectralFlux,8.20E+14,,,hz,,
418.8,,,seconds,0.661992442,0.121943514,0.121943514,mjy,Spectral,SpectralFlux,8.20E+14,,,hz,,
429,,,seconds,0.732576581,0.128198314,0.128198314,mjy,Spectral,SpectralFlux,8.20E+14,,,hz,,
439.2,,,seconds,0.825758458,0.136899296,0.136899296,mjy,Spectral,SpectralFlux,8.20E+14,,,hz,,
448.8,,,seconds,0.560858145,0.113645277,0.113645277,mjy,Spectral,SpectralFlux,8.20E+14,,,hz,,
459,,,seconds,0.753100665,0.124853642,0.124853642,mjy,Spectral,SpectralFlux,8.20E+14,,,hz,,
469.2,,,seconds,0.788593206,0.130737813,0.130737813,mjy,Spectral,SpectralFlux,8.20E+14,,,hz,,
478.8,,,seconds,0.888900255,0.139180256,0.139180256,mjy,Spectral,SpectralFlux,8.20E+14,,,hz,,
489,,,seconds,0.587290575,0.119001214,0.119001214,mjy,Spectral,SpectralFlux,8.20E+14,,,hz,,
499.2,,,seconds,0.638047529,0.117532698,0.117532698,mjy,Spectral,SpectralFlux,8.20E+14,,,hz,,
508.8,,,seconds,0.686835969,0.120193868,0.120193868,mjy,Spectral,SpectralFlux,8.20E+14,,,hz,,
