Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Model,Frequency,FrequencyLower,FrequencyUpper,FrequencyUnits,,,,149.2295,,,seconds,4.51E-08,5.59E-09,5.59E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
588.9600288,,,seconds,0.461624405,0.034438915,0.034438915,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,,,149.8938,,,seconds,5.42E-08,6.67E-09,6.67E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
667.8000288,,,seconds,0.478948438,0.041907142,0.041907142,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,,,176.986,,,seconds,6.12E-09,7.53E-10,7.53E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
746.9999712,,,seconds,0.487403632,0.030975158,0.030975158,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,,,178.1341,,,seconds,9.69E-09,1.19E-09,1.19E-09,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
825.8399712,,,seconds,0.444517395,0.046263969,0.046263969,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,,,179.22,,,seconds,8.16E-09,9.98E-10,9.98E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
903.96,,,seconds,0.39508338,0.034569098,0.034569098,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,,,180.395,,,seconds,7.88E-09,9.76E-10,9.76E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
982.8,,,seconds,0.411423184,0.034483063,0.034483063,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,,,181.2799,,,seconds,5.86E-09,7.36E-10,7.36E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
1060.920029,,,seconds,0.397272736,0.038053778,0.038053778,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,,,182.1459,,,seconds,7.63E-09,9.37E-10,9.37E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
1139.039971,,,seconds,0.419072112,0.042457765,0.042457765,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,,,182.7313,,,seconds,7.90E-09,9.71E-10,9.71E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
1217.879971,,,seconds,0.392544377,0.0386855,0.0386855,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,,,183.4988,,,seconds,6.26E-09,7.80E-10,7.80E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
1296.719971,,,seconds,0.436002281,0.032125835,0.032125835,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,,,184.3197,,,seconds,5.84E-09,7.15E-10,7.15E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
1374.84,,,seconds,0.370074159,0.04192466,0.04192466,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,,,185.1834,,,seconds,6.48E-09,8.04E-10,8.04E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
1452.960029,,,seconds,0.343786454,0.039579878,0.039579878,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,,,186.0459,,,seconds,5.66E-09,7.02E-10,7.02E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
1531.800029,,,seconds,0.391821949,0.049440745,0.049440745,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,,,186.9353,,,seconds,5.25E-09,6.51E-10,6.51E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
1609.919971,,,seconds,0.378345664,0.045301,0.045301,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,,,187.9011,,,seconds,5.46E-09,6.88E-10,6.88E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
1688.759971,,,seconds,0.328313515,0.047474904,0.047474904,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,,,188.8788,,,seconds,5.26E-09,6.44E-10,6.44E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
1766.88,,,seconds,0.3064,0.04204852,0.04204852,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,,,189.7869,,,seconds,5.57E-09,6.91E-10,6.91E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
1845.72,,,seconds,0.403913865,0.047990376,0.047990376,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,,,190.7701,,,seconds,5.39E-09,6.78E-10,6.78E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
1923.840029,,,seconds,0.337511644,0.043831219,0.043831219,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,,,191.6056,,,seconds,5.36E-09,6.65E-10,6.65E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz
