Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Model,Frequency,FrequencyLower,FrequencyUpper,FrequencyUnits,,
18921.6,,,seconds,0.287804069,0.002650773,0.002650773,mjy,Spectral,SpectralFlux,3.72E+14,,,hz,,
19267.2,,,seconds,0.106240171,0.001957016,0.001957016,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,
190339.2,,,seconds,0.011649003,0.00085833,0.00085833,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,
192412.8,,,seconds,0.03829102,0.00105802,0.00105802,mjy,Spectral,SpectralFlux,3.72E+14,,,hz,,
364521.6,,,seconds,0.017502373,0.000644811,0.000644811,mjy,Spectral,SpectralFlux,3.72E+14,,,hz,,
367632,,,seconds,0.004552907,0.00054514,0.00054514,mjy,Spectral,SpectralFlux,4.56E+14,,,hz,,
623894.4,,,seconds,0.01538498,0.000850205,0.000850205,mjy,Spectral,SpectralFlux,3.72E+14,,,hz,,
28252.8,,,seconds,0.069187279,0.00382343,0.00382343,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
39225.6,,,seconds,0.056497112,0.003122146,0.003122146,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
40953.6,,,seconds,0.187079521,0.005169198,0.005169198,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
42595.2,,,seconds,0.283156313,0.020863728,0.020863728,mjy,Spectral,SpectralFlux,3.29E+14,,,hz,,
120096,,,seconds,0.055979143,0.004124696,0.004124696,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
121824,,,seconds,0.067924469,0.010635327,0.010635327,mjy,Spectral,SpectralFlux,3.29E+14,,,hz,,
124675.2,,,seconds,0.012942741,0.00202652,0.00202652,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
208656,,,seconds,0.02910893,0.004289651,0.004289651,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
207014.4,,,seconds,0.010000604,0.002302724,0.002302724,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
208656,,,seconds,0.02910893,0.004289651,0.004289651,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
210384,,,seconds,0.042075206,0.008525593,0.008525593,mjy,Spectral,SpectralFlux,3.29E+14,,,hz,,
47001.6,,,seconds,0.173790587,0.004802011,0.004802011,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
47174.4,,,seconds,0.177021595,0.004891287,0.004891287,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
47347.2,,,seconds,0.165968722,0.004585885,0.004585885,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
47433.6,,,seconds,0.044877251,0.002480009,0.002480009,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
47606.4,,,seconds,0.043654222,0.002412421,0.002412421,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
47692.8,,,seconds,0.047427065,0.002184097,0.002184097,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
48038.4,,,seconds,0.00483088,0.000578423,0.000578423,mjy,Spectral,SpectralFlux,6.29E+14,,,hz,,
51148.8,,,seconds,0.042075206,0.002325162,0.002325162,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
51494.4,,,seconds,0.044058149,0.001623162,0.001623162,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
51667.2,,,seconds,0.041689458,0.001535896,0.001535896,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
51840,,,seconds,0.042464523,0.001564451,0.001564451,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
51926.4,,,seconds,0.161445613,0.002973938,0.002973938,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
52185.6,,,seconds,0.152765839,0.002814051,0.002814051,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
52272,,,seconds,0.158498899,0.002919658,0.002919658,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
52444.8,,,seconds,0.154179364,0.004260133,0.004260133,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
52617.6,,,seconds,0.159965471,0.004420009,0.004420009,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
52790.4,,,seconds,0.155605968,0.004299552,0.004299552,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
133488,,,seconds,0.014191433,0.00065354,0.00065354,mjy,Spectral,SpectralFlux,4.81E+14,,,hz,,
134438.4,,,seconds,0.052969546,0.001463603,0.001463603,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
220838.4,,,seconds,0.02654766,0.000978052,0.000978052,mjy,Spectral,SpectralFlux,3.94E+14,,,hz,,
