Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Model,Frequency,FrequencyLower,FrequencyUpper,FrequencyUnits
11089.98864,,,seconds,0.313347511,0.023088298,0.023088298,mjy,Spectral,SpectralFlux,6.29E+14,,,hz
11323.44144,,,seconds,1.247458909,0.080426648,0.080426648,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
11548.51344,,,seconds,3.104747234,0.085787336,0.085787336,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
11779.37424,,,seconds,5.754747182,0.212012721,0.212012721,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
12433.85424,,,seconds,0.304807921,0.019651693,0.019651693,mjy,Spectral,SpectralFlux,6.29E+14,,,hz
12660.48144,,,seconds,1.137696046,0.052392839,0.052392839,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
12892.81104,,,seconds,2.805603204,0.077521681,0.077521681,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
13118.14224,,,seconds,5.395432317,0.24846884,0.24846884,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
13785.40944,,,seconds,0.231220454,0.021296191,0.021296191,mjy,Spectral,SpectralFlux,6.29E+14,,,hz
14018.77584,,,seconds,1.076530278,0.049576051,0.049576051,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
14244.10704,,,seconds,2.654766012,0.097805194,0.097805194,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
14477.04144,,,seconds,5.058552351,0.279545934,0.279545934,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
14807.26224,,,seconds,0.242117538,0.024529834,0.024529834,mjy,Spectral,SpectralFlux,6.29E+14,,,hz
15040.11024,,,seconds,1.000060442,0.046054485,0.046054485,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
15265.44144,,,seconds,2.48900775,0.091698434,0.091698434,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
15500.10384,,,seconds,4.742706495,0.305773588,0.305773588,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
16166.42064,,,seconds,0.207026647,0.030508574,0.030508574,mjy,Spectral,SpectralFlux,6.29E+14,,,hz
16391.75184,,,seconds,0.920505206,0.042390831,0.042390831,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
16623.04464,,,seconds,2.355191628,0.108460583,0.108460583,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
16847.77104,,,seconds,4.6992251,0.259688776,0.259688776,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
89121.11184,,,seconds,0.029924455,0.006339132,0.006339132,mjy,Spectral,SpectralFlux,6.29E+14,,,hz
89468.35344,,,seconds,0.724479747,0.033363525,0.033363525,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
89721.15984,,,seconds,0.737948831,0.040780559,0.040780559,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
90104.60304,,,seconds,0.369850533,0.013625797,0.013625797,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
90242.92944,,,seconds,0.366459723,0.010125656,0.010125656,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
90381.25584,,,seconds,0.356472678,0.013132939,0.013132939,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
90739.29744,,,seconds,0.134284612,0.007420842,0.007420842,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
91041.26544,,,seconds,0.13804677,0.006357289,0.006357289,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
93861.62064,,,seconds,0.022910061,0.003376151,0.003376151,mjy,Spectral,SpectralFlux,6.29E+14,,,hz
94335.35184,,,seconds,0.630995481,0.087175247,0.087175247,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
95167.03824,,,seconds,0.124745891,0.009191617,0.009191617,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
98951.35824,,,seconds,0.544535564,0.040122863,0.040122863,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
99202.26384,,,seconds,0.570198734,0.078775866,0.078775866,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
183129.323,,,seconds,0.044877251,0.005786687,0.005786687,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
185158.6862,,,seconds,0.231220454,0.031944286,0.031944286,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
259470.635,,,seconds,0.075862343,0.009782052,0.009782052,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
259799.387,,,seconds,0.024890078,0.003438691,0.003438691,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
259802.9294,,,seconds,0.135527132,0.019972016,0.019972016,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
347922.4622,,,seconds,0.048755796,0.006286805,0.006286805,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
348251.0414,,,seconds,0.016905431,0.002491276,0.002491276,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
348251.9054,,,seconds,0.107653028,0.016855857,0.016855857,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
438615.1598,,,seconds,0.015704577,0.003037535,0.003037535,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
438615.3326,,,seconds,0.041689458,0.007295508,0.007295508,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
439260.2222,,,seconds,0.097280602,0.015231787,0.015231787,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
526960.3694,,,seconds,0.024435782,0.004051114,0.004051114,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
527443.7774,,,seconds,0.062521048,0.010940963,0.010940963,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
311040,,,seconds,0.005445356,0.000200614,0.000200614,mjy,Spectral,SpectralFlux,6.29E+14,,,hz
311040,,,seconds,0.024211754,0.000891994,0.000891994,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
311040,,,seconds,0.064867364,0.000597451,0.000597451,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
311040,,,seconds,0.123602214,0.001138418,0.001138418,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
820800,,,seconds,0.00912066,0.000672035,0.000672035,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
820800,,,seconds,0.018198108,0.000838054,0.000838054,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
820800,,,seconds,0.035977108,0.000994084,0.000994084,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
1598400,,,seconds,0.000474271,6.55E-05,6.55E-05,mjy,Spectral,SpectralFlux,6.29E+14,,,hz
1598400,,,seconds,0.002992445,0.000165369,0.000165369,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
1598400,,,seconds,0.006730173,0.000929808,0.000929808,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
1598400,,,seconds,0.014860255,0.00068434,0.00068434,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
1857600,,,seconds,0.002489008,0.000137548,0.000137548,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
1857600,,,seconds,0.006792447,0.000125121,0.000125121,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
1857600,,,seconds,0.010280784,0.000378758,0.000378758,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
2462400,,,seconds,0.001380468,0.000190719,0.000190719,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
2462400,,,seconds,0.005395432,0.000447244,0.000447244,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
2462400,,,seconds,0.009550503,0.000615744,0.000615744,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
3156192,,,seconds,0.001270651,0.000128734,0.000128734,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
3156192,,,seconds,0.003802124,0.000175094,0.000175094,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
3156192,,,seconds,0.006792447,0.000437925,0.000437925,mjy,Spectral,SpectralFlux,3.29E+14,,,hz
4538592,,,seconds,0.002937827,0.000405876,0.000405876,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
380160,,,seconds,0.044465814,0.000819091,0.000819091,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
1503360,,,seconds,0.007516683,0.000346156,0.000346156,mjy,Spectral,SpectralFlux,3.94E+14,,,hz
80138.2,,,seconds,0.158498899,0.029196576,0.029196576,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
338733.4,,,seconds,0.019589631,0.001804272,0.001804272,mjy,Spectral,SpectralFlux,4.81E+14,,,hz
