Times,TimeBnds,Fluxes,FluxErrs,Freqs,FluxType,FluxUnits
80.697,5.085,2.652062862e-10,3.88908294e-11,1,Integrated,cgs
5915.461,56.537,2.042313084e-11,4.5909552e-12,1,Integrated,cgs
6007.673,37.375,2.587943904e-11,5.8072284e-12,1,Integrated,cgs
6111.402,61.693,2.10090504e-11,4.74782322e-12,1,Integrated,cgs
6215.105,53.308,2.467485492e-11,5.4116688e-12,1,Integrated,cgs
6315.492,59.752,1.767336504e-11,3.98691438e-12,1,Integrated,cgs
6414.126,30.686,3.161845872e-11,7.0825488e-12,1,Integrated,cgs
6511.396,48.498,1.846847736e-11,4.17368124e-12,1,Integrated,cgs
6630.086,46.004,2.358605712e-11,5.28328716e-12,1,Integrated,cgs
6746.844,73.594,1.542574824e-11,3.486056418e-12,1,Integrated,cgs
6903.309,89.599,1.586998992e-11,3.2178069e-12,1,Integrated,cgs
11593.463,68.169,7.03772886e-12,1.583513862e-12,1,Integrated,cgs
11727.398,60.114,9.5373441e-12,2.151256584e-12,1,Integrated,cgs
11873.125,77.842,1.112029758e-11,2.50793955e-12,1,Integrated,cgs
12025.866,73.462,8.6054922e-12,1.943356986e-12,1,Integrated,cgs
12149.668,62.16,7.3462257e-12,1.654993542e-12,1,Integrated,cgs
12291.252,72.103,6.74638686e-12,1.527122016e-12,1,Integrated,cgs
12504.491,71.837,1.141895322e-11,2.56917801e-12,1,Integrated,cgs
12700.18,154.165,5.57281668e-12,1.029379254e-12,1,Integrated,cgs
17421.473,1333.896,4.12357962e-12,1.043802276e-12,1,Integrated,cgs
17954.761,136.969,4.54457412e-12,1.025069304e-12,1,Integrated,cgs
18335.884,230.145,5.35767672e-12,1.049342376e-12,1,Integrated,cgs
23448.708,1572.257,2.649483264e-12,5.62308114e-13,1,Integrated,cgs
28847.894,1188.779,1.890169194e-12,3.95295516e-13,1,Integrated,cgs
36214.668,2766.244,1.489443318e-12,2.5929084e-13,1,Integrated,cgs
77437.611,3183.286,6.3767967e-13,1.530245712e-13,1,Integrated,cgs
97012.026,10775.984,3.63975012e-13,1.004465442e-13,1,Integrated,cgs
155089.043,11603.77,1.26976614e-13,3.68609226e-14,1,Integrated,cgs
170765.825,3604.686,1.322039904e-13,3.289925904e-14,1,Integrated,cgs
380351.909,120258.954,2.737201278e-14,7.1669778e-15,1,Integrated,cgs
911683.028,73782.509,2.196875502e-14,7.34316006e-15,1,Integrated,cgs
1070196.191,87668.861,2.057661462e-14,6.6195345e-15,1,Integrated,cgs
