Times,TimeBnds,Fluxes,FluxErrs,Freqs,FluxType,FluxUnits
744.5952,,1.242478153,0.045772895,4.56E+14,Spectral,mJy
804.59136,,1.16490031,0.053643659,4.56E+14,Spectral,mJy
865.58976,,1.133153543,0.052181721,4.56E+14,Spectral,mJy
925.59456,,1.092166273,0.050294257,4.56E+14,Spectral,mJy
985.59072,,1.102271963,0.060911549,4.56E+14,Spectral,mJy
1045.59552,,0.996067479,0.045868907,4.56E+14,Spectral,mJy
1105.59168,,0.960038746,0.044209784,4.56E+14,Spectral,mJy
1165.59648,,0.986935478,0.054538054,4.56E+14,Spectral,mJy
1225.59264,,0.875565742,0.056447723,4.56E+14,Spectral,mJy
1285.59744,,0.820897175,0.052923241,4.56E+14,Spectral,mJy
1345.5936,,0.883667253,0.048831452,4.56E+14,Spectral,mJy
1465.59456,,0.813371144,0.052438038,4.56E+14,Spectral,mJy
1525.59072,,0.851704145,0.047065171,4.56E+14,Spectral,mJy
1585.59552,,0.798525448,0.051480936,4.56E+14,Spectral,mJy
1645.59168,,0.933875025,0.129014835,4.56E+14,Spectral,mJy
1705.59648,,0.755594453,0.055672199,4.56E+14,Spectral,mJy
1765.59264,,0.783950716,0.050541303,4.56E+14,Spectral,mJy
1825.59744,,0.755594453,0.048713174,4.56E+14,Spectral,mJy
1886.59584,,0.762585882,0.056187328,4.56E+14,Spectral,mJy
1946.592,,0.689110331,0.050773649,4.56E+14,Spectral,mJy
2006.5968,,0.664184538,0.048937117,4.56E+14,Spectral,mJy
2066.59296,,0.689110331,0.057120355,4.56E+14,Spectral,mJy
2126.59776,,0.670330162,0.049389926,4.56E+14,Spectral,mJy
2186.59392,,0.658095257,0.054549516,4.56E+14,Spectral,mJy
2426.59584,,0.611348373,0.061935704,4.56E+14,Spectral,mJy
2486.592,,0.552444636,0.050880151,4.56E+14,Spectral,mJy
2546.5968,,0.513202497,0.051992545,4.56E+14,Spectral,mJy
2606.59296,,0.542361385,0.044956335,4.56E+14,Spectral,mJy
2666.59776,,0.611348373,0.045044148,4.56E+14,Spectral,mJy
2726.59392,,0.508497428,0.060882397,4.56E+14,Spectral,mJy
2786.59008,,0.451116551,0.054012185,4.56E+14,Spectral,mJy
2846.59488,,0.532462174,0.053943743,4.56E+14,Spectral,mJy
2907.59328,,0.49010458,0.058680221,4.56E+14,Spectral,mJy
2967.59808,,0.537388986,0.059392231,4.56E+14,Spectral,mJy
3027.59424,,0.547379793,0.050413679,4.56E+14,Spectral,mJy
3087.5904,,0.547379793,0.050413679,4.56E+14,Spectral,mJy
3147.5952,,0.455290681,0.050318726,4.56E+14,Spectral,mJy
3207.59136,,0.494639462,0.050111924,4.56E+14,Spectral,mJy
3267.59616,,0.382198309,0.059840789,4.56E+14,Spectral,mJy
3283.2,,0.451116551,0.008309567,4.56E+14,Spectral,mJy
3327.59232,,0.442882746,0.053026351,4.56E+14,Spectral,mJy
3387.59712,,0.463755167,0.055525406,4.56E+14,Spectral,mJy
3447.59328,,0.494639462,0.050111924,4.56E+14,Spectral,mJy
3507.59808,,0.472377019,0.047856516,4.56E+14,Spectral,mJy
3567.59424,,0.499216304,0.055173386,4.56E+14,Spectral,mJy
3627.5904,,0.364996551,0.050424274,4.56E+14,Spectral,mJy
3687.5952,,0.463755167,0.055525406,4.56E+14,Spectral,mJy
3747.59136,,0.438822372,0.048498649,4.56E+14,Spectral,mJy
3807.59616,,0.40021076,0.051603175,4.56E+14,Spectral,mJy
3868.59456,,0.459503434,0.055016346,4.56E+14,Spectral,mJy
