Times,TimeBnds,Fluxes,FluxErrs,Freqs,FluxType,FluxUnits
116.949,1.302,6.3202664e-10,9.42189328e-11,1,Integrated,cgs
119.99,1.891,4.36343664e-10,6.50475792e-11,1,Integrated,cgs
123.201,1.551,5.4162008e-10,8.07414272e-11,1,Integrated,cgs
126.053,1.543,4.58000016e-10,6.82758464e-11,1,Integrated,cgs
128.993,1.153,6.39396512e-10,9.5317224e-11,1,Integrated,cgs
131.547,1.358,5.89745104e-10,9.02295104e-11,1,Integrated,cgs
134.418,1.727,4.5240672e-10,6.74419136e-11,1,Integrated,cgs
137.737,1.724,4.39618048e-10,6.55354384e-11,1,Integrated,cgs
141.145,1.715,4.7335232e-10,7.05642976e-11,1,Integrated,cgs
143.86,1.256,5.37265584e-10,8.2200232e-11,1,Integrated,cgs
146.973,1.624,4.62956432e-10,6.9014536e-11,1,Integrated,cgs
150.266,1.671,4.6883184e-10,7.36355792e-11,1,Integrated,cgs
153.624,1.943,3.94899344e-10,6.04185712e-11,1,Integrated,cgs
157.757,2.342,3.49390848e-10,5.4875952e-11,1,Integrated,cgs
161.422,1.813,4.25128496e-10,6.50435664e-11,1,Integrated,cgs
164.862,1.682,4.71596416e-10,7.03026144e-11,1,Integrated,cgs
168.16,1.702,4.52973072e-10,6.75263344e-11,1,Integrated,cgs
171.507,1.634,4.42727968e-10,6.77362768e-11,1,Integrated,cgs
174.933,1.631,4.7592112e-10,7.09473376e-11,1,Integrated,cgs
178.397,1.843,3.95034928e-10,6.04393952e-11,1,Integrated,cgs
182.554,2.178,3.47577488e-10,5.31785376e-11,1,Integrated,cgs
186.392,1.765,2.724155248e-10,4.97366496e-11,1,Integrated,cgs
190.406,2.097,3.97175392e-10,6.23812256e-11,1,Integrated,cgs
193.118,1.094,5.5374512e-10,8.69724544e-11,1,Integrated,cgs
196.863,2.143,3.306456e-10,5.3325096e-11,1,Integrated,cgs
201.101,1.953,4.48967872e-10,6.69294304e-11,1,Integrated,cgs
204.53,1.93,4.02369536e-10,5.99828784e-11,1,Integrated,cgs
208.991,2.54,3.277424e-10,4.88579376e-11,1,Integrated,cgs
212.961,1.78,3.95138896e-10,6.04554464e-11,1,Integrated,cgs
216.628,1.692,4.10320352e-10,6.27781888e-11,1,Integrated,cgs
220.77,2.231,3.1582408e-10,4.708124e-11,1,Integrated,cgs
225.62,2.313,3.13688784e-10,5.0590464e-11,1,Integrated,cgs
230.176,2.333,2.980246976e-10,4.93669552e-11,1,Integrated,cgs
234.343,1.817,2.721002768e-10,4.96791632e-11,1,Integrated,cgs
238.055,1.839,2.374879616e-10,4.50868784e-11,1,Integrated,cgs
242.097,1.77,2.919767088e-10,5.26634704e-11,1,Integrated,cgs
245.691,1.675,2.740115856e-10,5.20208752e-11,1,Integrated,cgs
249.366,1.787,2.570703344e-10,4.88045856e-11,1,Integrated,cgs
253.104,1.727,2.740875552e-10,5.00419872e-11,1,Integrated,cgs
256.999,1.958,2.910303264e-10,5.0867104e-11,1,Integrated,cgs
260.813,1.842,2.818877696e-10,5.351616e-11,1,Integrated,cgs
264.409,1.974,2.463148752e-10,4.49713584e-11,1,Integrated,cgs
268.408,1.897,2.945055936e-10,5.3769848e-11,1,Integrated,cgs
272.092,2.172,3.58919728e-10,5.49140128e-11,1,Integrated,cgs
275.751,1.713,2.700120704e-10,5.33329392e-11,1,Integrated,cgs
279.79,2.238,1.976887984e-10,3.75310496e-11,1,Integrated,cgs
284.142,1.651,2.940910592e-10,5.4855432e-11,1,Integrated,cgs
288.117,2.193,2.95912384e-10,4.86484816e-11,1,Integrated,cgs
292.181,2.072,2.159998432e-10,4.2664424e-11,1,Integrated,cgs
296.274,1.772,2.731680464e-10,5.1860728e-11,1,Integrated,cgs
299.656,1.58,2.876049152e-10,5.250992e-11,1,Integrated,cgs
303.27,1.703,2.836999136e-10,5.17969792e-11,1,Integrated,cgs
307.931,2.826,1.665419312e-10,3.16178544e-11,1,Integrated,cgs
313.072,2.105,2.2205756e-10,4.0542504e-11,1,Integrated,cgs
318.085,2.597,3.10154176e-10,4.6235968e-11,1,Integrated,cgs
322.411,2.068,2.36111024e-10,4.31083552e-11,1,Integrated,cgs
326.264,1.668,2.718952896e-10,4.7331584e-11,1,Integrated,cgs
330.868,2.211,2.264866272e-10,4.65719184e-11,1,Integrated,cgs
335.129,2.404,2.336115664e-10,4.43509552e-11,1,Integrated,cgs
339.095,2.191,2.43632592e-10,4.44816144e-11,1,Integrated,cgs
343.705,2.682,2.059028784e-10,3.90904784e-11,1,Integrated,cgs
348.297,2.532,1.82171392e-10,3.7459488e-11,1,Integrated,cgs
352.683,1.862,2.648723728e-10,5.02857952e-11,1,Integrated,cgs
357.91,3.402,1.506077408e-10,2.85927504e-11,1,Integrated,cgs
364.102,3.111,1.733632352e-10,3.16520848e-11,1,Integrated,cgs
368.457,1.675,2.94047496e-10,5.19814768e-11,1,Integrated,cgs
372.747,2.324,2.127108368e-10,4.03829648e-11,1,Integrated,cgs
378.246,3.232,1.688695984e-10,3.33552144e-11,1,Integrated,cgs
382.503,1.871,2.520810256e-10,4.7857352e-11,1,Integrated,cgs
386.962,2.457,2.27899528e-10,4.16091184e-11,1,Integrated,cgs
391.989,3.078,1.928197824e-10,3.66066768e-11,1,Integrated,cgs
397.021,3.047,1.858145888e-10,3.52767376e-11,1,Integrated,cgs
401.601,2.374,1.767960032e-10,3.49208448e-11,1,Integrated,cgs
407.29,2.697,2.012410384e-10,3.6741896e-11,1,Integrated,cgs
412.319,2.737,1.504306608e-10,2.855913408e-11,1,Integrated,cgs
418.533,2.461,2.07158976e-10,3.93289664e-11,1,Integrated,cgs
423.212,2.427,1.86379208e-10,3.83247328e-11,1,Integrated,cgs
428.092,2.364,1.985672672e-10,3.62537328e-11,1,Integrated,cgs
448.05,11.127,1.126081664e-10,2.523296064e-11,1,Integrated,cgs
465.271,8.289,1.432553184e-10,3.0620096e-11,1,Integrated,cgs
488.87,14.337,8.69160624e-11,1.89919744e-11,1,Integrated,cgs
515.212,13.099,1.163276976e-10,2.431523024e-11,1,Integrated,cgs
538.18,13.501,1.001552624e-10,2.2458304e-11,1,Integrated,cgs
561.255,14.011,9.03296176e-11,2.02550488e-11,1,Integrated,cgs
583.801,11.483,1.058498208e-10,2.311374016e-11,1,Integrated,cgs
604.44,9.557,1.414619616e-10,3.025609856e-11,1,Integrated,cgs
625.121,12.687,1.06647e-10,2.330336928e-11,1,Integrated,cgs
648.36,13.36,9.02547728e-11,2.019572624e-11,1,Integrated,cgs
675.252,15.179,8.67356688e-11,1.893990832e-11,1,Integrated,cgs
697.767,10.114,9.0280096e-11,2.025817088e-11,1,Integrated,cgs
737.888,25.161,7.19621504e-11,1.22077888e-11,1,Integrated,cgs
4078.943,80.863,1.097245136e-11,2.47110808e-12,1,Integrated,cgs
4206.538,55.513,1.451456512e-11,3.25820816e-12,1,Integrated,cgs
4350.347,86.494,1.149037312e-11,2.582698576e-12,1,Integrated,cgs
4494.747,90.484,9.79353328e-12,2.199867424e-12,1,Integrated,cgs
4606.8,39.562,1.82070464e-11,4.07913888e-12,1,Integrated,cgs
4696.186,41.192,2.064906928e-11,4.63226384e-12,1,Integrated,cgs
4769.262,44.063,8.91959712e-12,1.997155968e-12,1,Integrated,cgs
4861.535,43.565,1.867523984e-11,4.0803032e-12,1,Integrated,cgs
5037.337,134.12,8.14142096e-12,1.794299808e-12,1,Integrated,cgs
5146.348,40.038,1.736823136e-11,3.89626464e-12,1,Integrated,cgs
5267.912,68.832,1.559753168e-11,3.41629424e-12,1,Integrated,cgs
5353.088,46.194,1.024069904e-11,2.29907144e-12,1,Integrated,cgs
5443.71,49.059,8.63946112e-12,1.940935424e-12,1,Integrated,cgs
5544.372,54.444,1.236058832e-11,2.709275664e-12,1,Integrated,cgs
5689.624,111.94,8.13641408e-12,1.837193296e-12,1,Integrated,cgs
5835.469,62.216,1.356125456e-11,3.04618944e-12,1,Integrated,cgs
6049.808,156.204,6.24312944e-12,1.383684576e-12,1,Integrated,cgs
6257.108,90.207,9.41100096e-12,2.11945304e-12,1,Integrated,cgs
6388.483,63.622,7.70800512e-12,1.728188928e-12,1,Integrated,cgs
6491.511,58.836,7.58380592e-12,1.62378864e-12,1,Integrated,cgs
9946.681,168.142,2.417448432e-12,6.36766912e-13,1,Integrated,cgs
10322.094,211.502,2.097062832e-12,5.49355664e-13,1,Integrated,cgs
10641.178,171.107,2.99146184e-12,7.5743424e-13,1,Integrated,cgs
11154.846,282.682,2.860376736e-12,7.49316528e-13,1,Integrated,cgs
11916.197,544.128,2.684742256e-12,5.148012e-13,1,Integrated,cgs
15769.585,258.06,1.95039104e-12,4.95998496e-13,1,Integrated,cgs
21460.666,163.521,1.824492784e-12,4.79289136e-13,1,Integrated,cgs
21780.023,139.485,2.088844496e-12,5.48256096e-13,1,Integrated,cgs
22541.546,502.856,1.488310128e-12,3.58992992e-13,1,Integrated,cgs
27370.739,281.996,1.200855328e-12,3.1347264e-13,1,Integrated,cgs
28383.18,775.425,1.096625888e-12,2.201360368e-13,1,Integrated,cgs
33883.169,1013.044,7.23544624e-13,1.426446128e-13,1,Integrated,cgs
39490.533,833.291,4.94343216e-13,1.044173424e-13,1,Integrated,cgs
45029.754,581.559,6.29378496e-13,1.671672592e-13,1,Integrated,cgs
46234.702,845.666,7.24475776e-13,1.371948352e-13,1,Integrated,cgs
51552.481,1322.032,4.36558592e-13,8.54345792e-14,1,Integrated,cgs
57407.01,1387.63,2.994798848e-13,6.9802048e-14,1,Integrated,cgs
64928.046,3123.683,3.17510064e-13,5.38313168e-14,1,Integrated,cgs
83285.375,3532.716,2.101636816e-13,4.78585072e-14,1,Integrated,cgs
95917.729,5167.295,1.910848544e-13,4.4989872e-14,1,Integrated,cgs
