Times,TimeBnds,Fluxes,FluxErrs,Freqs,FluxType,FluxUnits,,Obs Coeff,Unabs Coeff,Ratio Coeff,Unabsorbed Flux,Unabsorbed Flux Error
64.6312,0.3461,1.39E-07,1.56E-08,1,Integrated,cgs,,1.09E-07,1.16E-07,1.06E+00,1.48E-07,1.66E-08
65.2039,0.2712,1.62E-07,1.75E-08,1,Integrated,cgs,,1.09E-07,1.16E-07,1.06E+00,1.73E-07,1.86E-08
65.8857,0.3855,1.13E-07,1.29E-08,1,Integrated,cgs,,1.09E-07,1.16E-07,1.06E+00,1.20E-07,1.37E-08
66.7169,0.4374,1.15E-07,1.24E-08,1,Integrated,cgs,,1.09E-07,1.16E-07,1.06E+00,1.22E-07,1.32E-08
67.4195,0.3412,1.27E-07,1.40E-08,1,Integrated,cgs,,1.09E-07,1.16E-07,1.06E+00,1.35E-07,1.49E-08
68.2058,0.4194,9.52E-08,1.11E-08,1,Integrated,cgs,,1.09E-07,1.16E-07,1.06E+00,1.01E-07,1.18E-08
69.048,0.3631,1.11E-07,1.22E-08,1,Integrated,cgs,,1.09E-07,1.16E-07,1.06E+00,1.19E-07,1.29E-08
69.9206,0.4245,1.03E-07,1.16E-08,1,Integrated,cgs,,1.09E-07,1.16E-07,1.06E+00,1.10E-07,1.24E-08
70.718,0.3696,1.18E-07,1.29E-08,1,Integrated,cgs,,1.09E-07,1.16E-07,1.06E+00,1.25E-07,1.37E-08
71.5176,0.4042,1.18E-07,1.33E-08,1,Integrated,cgs,,1.09E-07,1.16E-07,1.06E+00,1.26E-07,1.41E-08
72.2798,0.4209,1.04E-07,1.16E-08,1,Integrated,cgs,,1.09E-07,1.16E-07,1.06E+00,1.11E-07,1.24E-08
73.072,0.3628,1.38E-07,1.45E-08,1,Integrated,cgs,,1.09E-07,1.16E-07,1.06E+00,1.46E-07,1.55E-08
73.8024,0.417,1.09E-07,1.19E-08,1,Integrated,cgs,,1.09E-07,1.16E-07,1.06E+00,1.16E-07,1.26E-08
74.6874,0.4712,9.86E-08,1.11E-08,1,Integrated,cgs,,1.09E-07,1.16E-07,1.06E+00,1.05E-07,1.18E-08
75.4654,0.3579,1.23E-07,1.36E-08,1,Integrated,cgs,,1.09E-07,1.16E-07,1.06E+00,1.31E-07,1.44E-08
76.2173,0.3803,1.22E-07,1.36E-08,1,Integrated,cgs,,1.09E-07,1.16E-07,1.06E+00,1.29E-07,1.45E-08
76.9309,0.3645,1.23E-07,1.38E-08,1,Integrated,cgs,,1.09E-07,1.16E-07,1.06E+00,1.31E-07,1.46E-08
77.6996,0.4126,1.11E-07,1.23E-08,1,Integrated,cgs,,1.09E-07,1.16E-07,1.06E+00,1.18E-07,1.31E-08
78.5102,0.4157,1.21E-07,1.33E-08,1,Integrated,cgs,,1.09E-07,1.16E-07,1.06E+00,1.29E-07,1.42E-08
79.2278,0.3896,1.22E-07,1.33E-08,1,Integrated,cgs,,1.09E-07,1.16E-07,1.06E+00,1.30E-07,1.41E-08
79.9665,0.3793,1.27E-07,1.35E-08,1,Integrated,cgs,,1.09E-07,1.16E-07,1.06E+00,1.35E-07,1.44E-08
80.7082,0.3915,1.33E-07,1.40E-08,1,Integrated,cgs,,1.09E-07,1.16E-07,1.06E+00,1.41E-07,1.50E-08
81.3762,0.3586,1.34E-07,1.45E-08,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,1.42E-07,1.53E-08
82.1036,0.4027,1.15E-07,1.28E-08,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,1.22E-07,1.35E-08
82.8992,0.4174,1.07E-07,1.20E-08,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,1.14E-07,1.28E-08
83.664,0.3567,1.29E-07,1.46E-08,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,1.37E-07,1.55E-08
84.329,0.342,1.27E-07,1.39E-08,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,1.34E-07,1.47E-08
85.172,0.4716,9.18E-08,1.02E-08,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,9.74E-08,1.08E-08
86.1063,0.4345,1.08E-07,1.21E-08,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,1.14E-07,1.29E-08
86.9024,0.4068,9.74E-08,1.11E-08,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,1.03E-07,1.18E-08
87.7748,0.3772,1.16E-07,1.31E-08,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,1.24E-07,1.39E-08
88.581,0.4202,1.04E-07,1.16E-08,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,1.11E-07,1.24E-08
89.5035,0.4869,9.72E-08,1.06E-08,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,1.03E-07,1.13E-08
90.4491,0.4985,9.08E-08,1.04E-08,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,9.64E-08,1.10E-08
91.4181,0.5032,9.42E-08,1.06E-08,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,1.00E-07,1.13E-08
92.2244,0.3701,1.15E-07,1.27E-08,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,1.22E-07,1.34E-08
93.0551,0.4109,1.17E-07,1.23E-08,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,1.24E-07,1.31E-08
93.8811,0.4327,1.04E-07,1.13E-08,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,1.11E-07,1.20E-08
94.8344,0.5107,9.71E-08,1.05E-08,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,1.03E-07,1.11E-08
95.6746,0.4026,1.14E-07,1.25E-08,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,1.21E-07,1.33E-08
96.4828,0.4156,1.09E-07,1.19E-08,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,1.16E-07,1.27E-08
97.3613,0.4632,1.04E-07,1.14E-08,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,1.10E-07,1.21E-08
98.1804,0.4123,9.99E-08,1.09E-08,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,1.06E-07,1.16E-08
99.1677,0.4905,9.96E-08,1.07E-08,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,1.06E-07,1.13E-08
100.0247,0.4223,9.88E-08,1.06E-08,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,1.05E-07,1.13E-08
101.126,0.591,7.80E-08,8.67E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,8.29E-08,9.21E-09
102.359,0.673,7.36E-08,8.06E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,7.82E-08,8.56E-09
103.468,0.553,8.13E-08,9.01E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,8.63E-08,9.57E-09
104.553,0.537,8.65E-08,9.55E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,9.18E-08,1.01E-08
105.669,0.613,7.36E-08,8.13E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,7.82E-08,8.63E-09
106.779,0.503,8.21E-08,9.18E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,8.72E-08,9.75E-09
108.008,0.654,6.79E-08,7.63E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,7.21E-08,8.10E-09
109.227,0.579,7.77E-08,8.68E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,8.25E-08,9.22E-09
110.2913,0.5088,9.89E-08,1.05E-08,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,1.05E-07,1.11E-08
111.316,0.599,7.27E-08,7.96E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,7.72E-08,8.45E-09
112.599,0.648,6.41E-08,7.32E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,6.81E-08,7.77E-09
113.783,0.481,8.71E-08,9.34E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,9.25E-08,9.92E-09
114.935,0.584,7.50E-08,8.31E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,7.96E-08,8.82E-09
116.271,0.735,6.09E-08,6.92E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,6.47E-08,7.35E-09
117.513,0.55,8.15E-08,8.50E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,8.65E-08,9.03E-09
118.852,0.739,6.05E-08,6.63E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,6.42E-08,7.04E-09
120.421,0.824,5.87E-08,6.51E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,6.24E-08,6.91E-09
121.908,0.8,6.13E-08,6.79E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,6.50E-08,7.21E-09
123.218,0.66,6.72E-08,7.52E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,7.14E-08,7.98E-09
124.616,0.746,5.99E-08,6.56E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,6.36E-08,6.97E-09
126.046,0.678,5.96E-08,6.61E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,6.33E-08,7.02E-09
127.568,0.709,6.57E-08,7.25E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,6.97E-08,7.70E-09
129.098,0.876,5.08E-08,5.81E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,5.40E-08,6.17E-09
130.642,0.692,6.28E-08,7.38E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,6.67E-08,7.83E-09
132.139,0.748,6.70E-08,8.08E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,7.11E-08,8.58E-09
133.376,0.614,7.09E-08,8.45E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,7.53E-08,8.98E-09
134.743,0.691,6.74E-08,9.41E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,7.16E-08,9.99E-09
136.163,0.731,6.08E-08,8.86E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,6.46E-08,9.40E-09
137.746,0.826,5.41E-08,6.88E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,5.75E-08,7.30E-09
139.55,1.001,4.90E-08,7.40E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,5.21E-08,7.85E-09
141.15,0.759,5.88E-08,8.82E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,6.25E-08,9.37E-09
142.663,0.712,6.06E-08,1.06E-08,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,6.43E-08,1.13E-08
144.307,0.835,5.06E-08,1.04E-08,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,5.37E-08,1.10E-08
146.122,0.961,4.64E-08,8.70E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,4.93E-08,9.23E-09
148.189,1.072,4.49E-08,6.08E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,4.77E-08,6.46E-09
150.062,0.964,4.98E-08,8.02E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,5.29E-08,8.52E-09
151.997,1.056,4.05E-08,5.70E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,4.30E-08,6.05E-09
153.6593,0.4928,4.84E-08,5.39E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,5.14E-08,5.73E-09
154.5339,0.4387,4.84E-08,5.20E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,5.14E-08,5.52E-09
155.3483,0.417,4.95E-08,5.40E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,5.25E-08,5.74E-09
156.1921,0.4549,4.65E-08,5.05E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,4.94E-08,5.37E-09
157.099,0.5006,4.03E-08,4.36E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,4.28E-08,4.63E-09
158.0629,0.4646,4.30E-08,4.75E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,4.56E-08,5.04E-09
158.9527,0.4222,4.48E-08,4.96E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,4.75E-08,5.27E-09
159.903,0.491,4.01E-08,4.33E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,4.25E-08,4.60E-09
160.8868,0.4634,4.10E-08,4.62E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,4.36E-08,4.91E-09
161.8255,0.4484,4.62E-08,5.04E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,4.90E-08,5.35E-09
162.775,0.53,3.82E-08,4.32E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,4.06E-08,4.59E-09
163.757,0.498,3.90E-08,4.21E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,4.14E-08,4.47E-09
164.7749,0.4818,4.33E-08,4.68E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,4.60E-08,4.96E-09
165.6912,0.4677,4.22E-08,4.56E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,4.48E-08,4.84E-09
166.6286,0.4515,4.32E-08,4.68E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,4.59E-08,4.97E-09
167.5707,0.4613,4.37E-08,4.79E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,4.64E-08,5.09E-09
168.536,0.513,3.88E-08,4.25E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,4.12E-08,4.52E-09
169.581,0.531,3.74E-08,4.11E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,3.97E-08,4.36E-09
170.5655,0.4529,4.28E-08,4.82E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,4.55E-08,5.11E-09
171.4598,0.4381,4.83E-08,5.37E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,5.13E-08,5.70E-09
172.2561,0.4089,3.43E-08,4.43E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,3.64E-08,4.70E-09
173.113,0.473,3.90E-08,4.23E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,4.14E-08,4.49E-09
174.1793,0.5102,4.02E-08,4.52E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,4.26E-08,4.80E-09
175.0332,0.3946,3.12E-08,4.33E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,3.31E-08,4.60E-09
175.8522,0.3916,3.54E-08,4.46E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,3.76E-08,4.73E-09
176.842,0.531,3.86E-08,4.22E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,4.10E-08,4.48E-09
177.763,0.3916,3.46E-08,4.71E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,3.68E-08,5.01E-09
178.606,0.464,4.07E-08,4.51E-09,1,Integrated,cgs,,2.04E-08,2.17E-08,1.06E+00,4.32E-08,4.79E-09
