Times,TimeBnds,Fluxes,FluxErrs,Freqs,FluxType,FluxUnits
91.1323,0.3441,9.62484052e-09,1.305267696e-09,1,Integrated,cgs
91.7687,0.3329,8.26282472e-09,1.116911544e-09,1,Integrated,cgs
92.5679,0.3778,9.15098e-09,1.285468056e-09,1,Integrated,cgs
93.2539,0.3894,8.28252348e-09,1.160447472e-09,1,Integrated,cgs
94.0568,0.4398,7.15321068e-09,1.041946452e-09,1,Integrated,cgs
94.9207,0.4587,7.30507e-09,1.051333724e-09,1,Integrated,cgs
95.6821,0.3625,9.59845652e-09,1.38974034e-09,1,Integrated,cgs
96.4738,0.5048,6.24185688e-09,9.42559476e-10,1,Integrated,cgs
97.3296,0.382,6.57675132e-09,9.9401526e-10,1,Integrated,cgs
98.3232,0.447,7.69278288e-09,1.153175964e-09,1,Integrated,cgs
99.1161,0.4214,7.3169816e-09,1.17546346e-09,1,Integrated,cgs
99.9211,0.3832,7.9164416e-09,1.33831676e-09,1,Integrated,cgs
100.8466,0.5135,6.64789888e-09,1.190782088e-09,1,Integrated,cgs
101.774,0.503,4.82911008e-09,8.69828488e-10,1,Integrated,cgs
102.907,0.572,4.1177082e-09,7.59790524e-10,1,Integrated,cgs
104.004,0.447,5.97119972e-09,1.128089824e-09,1,Integrated,cgs
104.8378,0.4464,5.49108464e-09,1.035953792e-09,1,Integrated,cgs
105.7515,0.4527,5.32734864e-09,1.005120596e-09,1,Integrated,cgs
106.6857,0.4423,5.97107944e-09,1.11701126e-09,1,Integrated,cgs
107.5629,0.485,5.060587e-09,9.48268896e-10,1,Integrated,cgs
108.618,0.545,4.82835348e-09,9.07348476e-10,1,Integrated,cgs
109.655,0.551,4.50237916e-09,8.35221604e-10,1,Integrated,cgs
110.6966,0.4857,5.2581178e-09,9.48020964e-10,1,Integrated,cgs
111.558,0.3899,5.83442196e-09,1.015119356e-09,1,Integrated,cgs
112.4645,0.4389,4.4123166e-09,7.73599832e-10,1,Integrated,cgs
113.3012,0.3878,5.08423948e-09,8.53236056e-10,1,Integrated,cgs
114.0149,0.2991,3.784034408e-09,7.0970244e-10,1,Integrated,cgs
114.8381,0.3982,4.31953416e-09,7.33061592e-10,1,Integrated,cgs
115.7473,0.3911,3.255995896e-09,6.1093704e-10,1,Integrated,cgs
116.6534,0.4682,4.46982208e-09,7.40323788e-10,1,Integrated,cgs
117.5449,0.447,4.11194252e-09,6.8563092e-10,1,Integrated,cgs
118.5586,0.4982,3.10502626e-09,5.6442166e-10,1,Integrated,cgs
119.425,0.483,4.03236372e-09,6.49147668e-10,1,Integrated,cgs
120.437,0.492,4.00386512e-09,6.35038436e-10,1,Integrated,cgs
121.45,0.496,3.840885332e-09,5.98898564e-10,1,Integrated,cgs
122.4958,0.4804,4.23293256e-09,6.60308876e-10,1,Integrated,cgs
123.3394,0.3918,3.688220912e-09,6.546045e-10,1,Integrated,cgs
124.0199,0.4032,2.840384652e-09,5.1092034e-10,1,Integrated,cgs
124.8863,0.4139,4.36411148e-09,6.91293004e-10,1,Integrated,cgs
125.6956,0.4065,2.876309572e-09,5.18784712e-10,1,Integrated,cgs
126.4948,0.3607,3.309716048e-09,5.91899044e-10,1,Integrated,cgs
127.4071,0.5275,2.64897688e-09,4.82145872e-10,1,Integrated,cgs
128.1357,0.3524,3.792487376e-09,6.33800328e-10,1,Integrated,cgs
