READ TERR 1 2
! WTSLEW
79.5859627472917	4.14178922299939	-5.06088577872481	1.21694256266811e-10	2.1930291209019e-11	-2.19660285877888e-11
NO NO NO NO NO NO
! WT
98.479	4.565	-5.304	1.011959094e-10	2.07530622e-11	-2.075335234e-11
112.135	9.288	-9.091	4.21196564e-11	1.198864674e-11	-1.198878692e-11
131.583	6.800	-10.161	5.38244582e-11	1.249146914e-11	-1.249188642e-11
147.341	13.968	-8.958	2.842509078e-11	9.82077608e-12	-9.8209456e-12
171.555	11.129	-10.246	3.59765776e-11	1.024020442e-11	-1.024047174e-11
583.507	16.965	-19.868	1.48281589e-11	5.92804268e-12	-5.24733512e-12
NO NO NO NO NO NO
! PC_incbad
757.277	115.072	-70.47	4.45066936e-12	1.001879174e-12	-1.001879174e-12
976.563	108.907	-104.215	4.07082068e-12	8.9712918e-13	-8.9712918e-13
1182.095	119.004	-96.624	3.84302492e-12	8.6351369e-13	-8.6351369e-13
1407.616	84.039	-106.517	3.22045131e-12	8.35568318e-13	-8.35568318e-13
1602.629	87.104	-110.974	3.07831368e-12	8.03912088e-13	-8.03912088e-13
1889.134	261.936	-199.401	2.981947754e-12	5.16556128e-13	-5.16556128e-13
5556.443	288.176	-250.898	1.183876824e-12	3.083924466e-13	-3.083924466e-13
6233.112	311.049	-388.493	9.10370322e-13	2.39524914e-13	-2.39524914e-13
6755.846	317.359	-211.685	1.20439233e-12	3.160497954e-13	-3.160497954e-13
7452.984	465.168	-379.78	9.03556596e-13	2.175739974e-13	-2.175739974e-13
12382.482	1306.076	-1304.024	4.09304084e-13	8.31414426e-14	-8.31414426e-14
18181.369	1271.375	-1340.769	3.37361752e-13	8.03077854e-14	-8.03077854e-14
44245.521	27114.538	-21521.104	9.3741463e-14	2.234626332e-14	-2.234626332e-14
NO NO NO NO NO NO
! PCUL_incbad
84514.260 2080.900 -2080.9 6.522608e-13 0 0
