Times,TimeBnds,Fluxes,FluxErrs,Freqs,FluxType,FluxUnits,Filters,,obs,unabs,ratio,unabs flux,unabs error
76.6549,,6.68E-09,8.32E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,7.89E-09,9.83E-10
77.4628,,8.24E-09,1.03E-09,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,9.74E-09,1.22E-09
78.2164,,1.01E-08,1.26E-09,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,1.19E-08,1.49E-09
78.9312,,7.03E-09,8.82E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,8.31E-09,1.04E-09
80.042,,6.15E-09,7.72E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,7.27E-09,9.12E-10
81.0078,,6.67E-09,8.37E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,7.88E-09,9.89E-10
82.079,,6.08E-09,7.84E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,7.19E-09,9.27E-10
82.9324,,8.28E-09,1.07E-09,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,9.79E-09,1.26E-09
83.7604,,8.96E-09,1.10E-09,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,1.06E-08,1.30E-09
84.772,,5.25E-09,6.59E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,6.20E-09,7.79E-10
85.775,,6.92E-09,8.46E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,8.18E-09,1.00E-09
86.926,,5.68E-09,7.41E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,6.71E-09,8.76E-10
87.954,,6.33E-09,8.05E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,7.48E-09,9.51E-10
88.9889,,7.14E-09,8.73E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,8.44E-09,1.03E-09
89.917,,5.72E-09,7.18E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,6.76E-09,8.49E-10
91.109,,6.04E-09,7.68E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,7.14E-09,9.08E-10
92.196,,6.31E-09,7.92E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,7.46E-09,9.36E-10
93.1229,,7.53E-09,9.20E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,8.90E-09,1.09E-09
94.1,,6.55E-09,8.12E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,7.74E-09,9.60E-10
95.135,,6.57E-09,8.25E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,7.76E-09,9.75E-10
96.099,,6.63E-09,8.10E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,7.84E-09,9.57E-10
97.114,,6.43E-09,7.87E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,7.60E-09,9.30E-10
98.186,,5.48E-09,6.99E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,6.48E-09,8.26E-10
99.505,,4.65E-09,5.92E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,5.50E-09,7.00E-10
100.75,,6.21E-09,7.60E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,7.34E-09,8.98E-10
101.7804,,6.66E-09,8.46E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,7.87E-09,1.00E-09
102.856,,5.25E-09,6.85E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,6.20E-09,8.10E-10
103.981,,5.86E-09,7.55E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,6.93E-09,8.92E-10
105.1105,,6.65E-09,8.14E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,7.86E-09,9.62E-10
105.9939,,7.01E-09,8.82E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,8.28E-09,1.04E-09
107.012,,6.42E-09,7.90E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,7.59E-09,9.34E-10
108.192,,4.91E-09,6.37E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,5.80E-09,7.53E-10
109.1982,,7.17E-09,8.94E-10,3.00E+09,Integrated,cgs,XRT,,8.80E-09,1.04E-08,1.18E+00,8.47E-09,1.06E-09
