Times,TimeBnds,Fluxes,FluxErrs,Freqs,FluxType,FluxUnits
24290.439,47.078,3.5314695e-11,7.8005755e-12,1,Integrated,cgs
24395.391,51.738,3.66850795e-11,8.1156832e-12,1,Integrated,cgs
24511.435,69.996,2.77651551e-11,6.16123625e-12,1,Integrated,cgs
24620.067,48.248,3.49005345e-11,7.82883945e-12,1,Integrated,cgs
24741.151,69.039,2.29302944e-11,5.23531635e-12,1,Integrated,cgs
24871.68,49.129,3.94533185e-11,8.94979635e-12,1,Integrated,cgs
24976.599,66.292,2.87562526e-11,6.3616232e-12,1,Integrated,cgs
25077.281,41.608,3.62917895e-11,8.2591972e-12,1,Integrated,cgs
25199.621,68.67,2.66097401e-11,6.0460197e-12,1,Integrated,cgs
25296.169,34.838,4.19055855e-11,9.4755889e-12,1,Integrated,cgs
25423.026,78.953,2.54754435e-11,5.8258443e-12,1,Integrated,cgs
25525.213,45.746,3.77776485e-11,8.4877342e-12,1,Integrated,cgs
25627.752,55.515,3.14796686e-11,7.11811015e-12,1,Integrated,cgs
25828.205,145.646,2.481629415e-11,4.2721612e-12,1,Integrated,cgs
30234.934,51.768,2.466168495e-11,5.5714319e-12,1,Integrated,cgs
30348.504,72.566,1.696734465e-11,3.82002845e-12,1,Integrated,cgs
30475.875,67.05,2.09952875e-11,4.72688015e-12,1,Integrated,cgs
30551.11,34.47,3.8252578e-11,8.57544055e-12,1,Integrated,cgs
30617.926,41.111,3.05437322e-11,6.8531218e-12,1,Integrated,cgs
30727.23,75.195,1.7561169e-11,3.9605107e-12,1,Integrated,cgs
30831.047,48.633,2.753207885e-11,6.20388845e-12,1,Integrated,cgs
30945.828,80.672,2.14368041e-11,4.5809776e-12,1,Integrated,cgs
31026.866,43.866,2.63522323e-11,5.91267295e-12,1,Integrated,cgs
31132.656,61.9,1.68310566e-11,3.7828602e-12,1,Integrated,cgs
31265.685,57.027,2.287700595e-11,5.1638039e-12,1,Integrated,cgs
31352.689,43.739,2.18208146e-11,4.9001388e-12,1,Integrated,cgs
31471.25,56.993,2.06285496e-11,4.5198401e-12,1,Integrated,cgs
31605.388,73.287,2.002107735e-11,4.20581445e-12,1,Integrated,cgs
35313.462,302.659,2.3935951e-11,6.207014e-12,1,Integrated,cgs
36001.062,100.51,1.44635379e-11,3.25351866e-12,1,Integrated,cgs
36124.314,63.295,1.332062845e-11,2.996308005e-12,1,Integrated,cgs
36220.598,54.272,1.43978511e-11,3.23092559e-12,1,Integrated,cgs
36323.013,58.901,1.12084166e-11,2.513713035e-12,1,Integrated,cgs
36460.535,71.057,1.12595644e-11,2.528184365e-12,1,Integrated,cgs
36559.712,44.869,2.536597555e-11,5.6814861e-12,1,Integrated,cgs
36706.507,93.879,1.66419826e-11,3.7462648e-12,1,Integrated,cgs
36848.118,87.558,1.892566085e-11,4.1474943e-12,1,Integrated,cgs
36988.824,90.362,1.00544689e-11,2.257596825e-12,1,Integrated,cgs
37081.99,43.118,1.66056485e-11,3.71973615e-12,1,Integrated,cgs
37194.19,70.07,1.08358966e-11,2.318950735e-12,1,Integrated,cgs
41333.635,43.243,1.04941028e-11,2.37750572e-12,1,Integrated,cgs
41442.322,59.159,8.74516495e-12,1.976533165e-12,1,Integrated,cgs
41524.322,30.837,1.94458656e-11,4.36891255e-12,1,Integrated,cgs
41615.934,72.304,1.16871182e-11,2.081408265e-12,1,Integrated,cgs
132936.259,140.138,2.59106286e-12,6.7835356e-13,1,Integrated,cgs
133202.863,140.966,2.39743152e-12,6.2703424e-13,1,Integrated,cgs
133469.317,119.078,2.983922385e-12,7.33901585e-13,1,Integrated,cgs
133839.001,225.494,3.031586185e-12,5.4267119e-13,1,Integrated,cgs
138610.55,103.034,3.6385824e-12,8.25261445e-13,1,Integrated,cgs
138977.681,229.462,2.45768462e-12,4.91542485e-13,1,Integrated,cgs
173667.542,171.23,2.459464475e-12,6.4318258e-13,1,Integrated,cgs
173921.448,149.331,2.171661285e-12,5.70533475e-13,1,Integrated,cgs
174203.105,122.589,2.882291425e-12,7.53066935e-13,1,Integrated,cgs
174445.939,127.228,3.17336254e-12,7.16395155e-13,1,Integrated,cgs
189946.779,4973.085,2.151487585e-12,4.98844815e-13,1,Integrated,cgs
214210.531,338.738,1.559362355e-12,3.5341294e-13,1,Integrated,cgs
226308.198,228.492,1.86693155e-12,4.2169465e-13,1,Integrated,cgs
274502.667,36492.747,1.01608113e-12,1.703320565e-13,1,Integrated,cgs
379499.888,4114.5,7.3435886e-13,1.611705435e-13,1,Integrated,cgs
386525.138,731.888,7.97215915e-13,1.87984781e-13,1,Integrated,cgs
391949.775,852.886,7.1398617e-13,1.59852955e-13,1,Integrated,cgs
465801.569,5144.29,3.95840355e-13,8.19693075e-14,1,Integrated,cgs
576758.518,19052.998,3.80439065e-13,7.1894082e-14,1,Integrated,cgs
688982.575,5174.609,2.35718797e-13,4.62036355e-14,1,Integrated,cgs
764599.705,52245.649,1.200547205e-13,2.388944965e-14,1,Integrated,cgs
1043643.145,73096.961,1.01145612e-13,2.77921695e-14,1,Integrated,cgs
1212530.042,35340.138,8.38062465e-14,2.04666642e-14,1,Integrated,cgs
1616772.971,213824.477,5.21922965e-14,1.41337036e-14,1,Integrated,cgs
