Time,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,SlopGroup,Include
11089.98864,s,0.313328572,0.022256861,0.022256861,mJy,Spectral Flux,629000000000000.0,,,Hz,g,g_offset,slop,1.0
11323.44144,s,1.247383514,0.077884123,0.077884123,mJy,Spectral Flux,481000000000000.0,,,Hz,r,r_offset,slop,1.0
11548.51344,s,3.104559588,0.084607868,0.084607868,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i_offset,slop,1.0
11779.37424,s,5.754399373,0.208142244,0.208142244,mJy,Spectral Flux,329000000000000.0,,,Hz,z,z_offset,slop,1.0
12433.85424,s,0.304789499,0.019030445,0.019030445,mJy,Spectral Flux,629000000000000.0,,,Hz,g,g_offset,slop,1.0
12660.48144,s,1.137627286,0.051201662,0.051201662,mJy,Spectral Flux,481000000000000.0,,,Hz,r,r_offset,slop,1.0
12892.81104,s,2.805433638,0.076455855,0.076455855,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i_offset,slop,1.0
13118.14224,s,5.395106225,0.242819779,0.242819779,mJy,Spectral Flux,329000000000000.0,,,Hz,z,z_offset,slop,1.0
13785.40944,s,0.231206479,0.020343664,0.020343664,mJy,Spectral Flux,629000000000000.0,,,Hz,g,g_offset,slop,1.0
14018.77584,s,1.076465214,0.048448916,0.048448916,mJy,Spectral Flux,481000000000000.0,,,Hz,r,r_offset,slop,1.0
14244.10704,s,2.654605562,0.096019675,0.096019675,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i_offset,slop,1.0
14477.04144,s,5.05824662,0.271945697,0.271945697,mJy,Spectral Flux,329000000000000.0,,,Hz,z,z_offset,slop,1.0
14807.26224,s,0.242102905,0.023326742,0.023326742,mJy,Spectral Flux,629000000000000.0,,,Hz,g,g_offset,slop,1.0
15040.11024,s,1.0,0.045007414,0.045007414,mJy,Spectral Flux,481000000000000.0,,,Hz,r,r_offset,slop,1.0
15265.44144,s,2.488857318,0.090024399,0.090024399,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i_offset,slop,1.0
15500.10384,s,4.742419853,0.296107178,0.296107178,mJy,Spectral Flux,329000000000000.0,,,Hz,z,z_offset,slop,1.0
16166.42064,s,0.207014135,0.028365377,0.028365377,mJy,Spectral Flux,629000000000000.0,,,Hz,g,g_offset,slop,1.0
16391.75184,s,0.920449572,0.041427055,0.041427055,mJy,Spectral Flux,481000000000000.0,,,Hz,r,r_offset,slop,1.0
16623.04464,s,2.355049284,0.105994678,0.105994678,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i_offset,slop,1.0
16847.77104,s,4.698941086,0.252628411,0.252628411,mJy,Spectral Flux,329000000000000.0,,,Hz,z,z_offset,slop,1.0
89121.11184,s,0.029922646,0.005712356,0.005712356,mJy,Spectral Flux,629000000000000.0,,,Hz,g,g_offset,slop,1.0
89468.35344,s,0.72443596,0.032604989,0.032604989,mJy,Spectral Flux,329000000000000.0,,,Hz,z,z_offset,slop,1.0
89721.15984,s,0.73790423,0.039671826,0.039671826,mJy,Spectral Flux,329000000000000.0,,,Hz,z,z_offset,slop,1.0
