Time,TimeUnits,Flux,FluxType,FluxUnits,FluxLowerError,FluxUpperError,FrequencyLower,FrequencyUpper
104.106,seconds,6.56E-10,Integrated,cgs,9.78E-11,9.78E-11,7.25E+16,2.42E+18
107.188,seconds,7.78E-10,Integrated,cgs,1.16E-10,1.16E-10,7.25E+16,2.42E+18
111.112,seconds,5.38E-10,Integrated,cgs,8.39E-11,8.39E-11,7.25E+16,2.42E+18
114.683,seconds,4.36E-10,Integrated,cgs,7.96E-11,7.96E-11,7.25E+16,2.42E+18
119.091,seconds,5.64E-10,Integrated,cgs,8.41E-11,8.41E-11,7.25E+16,2.42E+18
122.68,seconds,7.70E-10,Integrated,cgs,1.15E-10,1.15E-10,7.25E+16,2.42E+18
125.804,seconds,6.37E-10,Integrated,cgs,1.01E-10,1.01E-10,7.25E+16,2.42E+18
129.907,seconds,5.04E-10,Integrated,cgs,7.85E-11,7.85E-11,7.25E+16,2.42E+18
134.485,seconds,5.56E-10,Integrated,cgs,8.48E-11,8.48E-11,7.25E+16,2.42E+18
138.417,seconds,4.15E-10,Integrated,cgs,7.84E-11,7.84E-11,7.25E+16,2.42E+18
142.092,seconds,4.29E-10,Integrated,cgs,8.37E-11,8.37E-11,7.25E+16,2.42E+18
145.907,seconds,4.76E-10,Integrated,cgs,7.58E-11,7.58E-11,7.25E+16,2.42E+18
150.519,seconds,5.49E-10,Integrated,cgs,8.37E-11,8.37E-11,7.25E+16,2.42E+18
154.482,seconds,5.80E-10,Integrated,cgs,8.84E-11,8.84E-11,7.25E+16,2.42E+18
158.303,seconds,3.52E-10,Integrated,cgs,7.61E-11,7.61E-11,7.25E+16,2.42E+18
162.654,seconds,4.66E-10,Integrated,cgs,8.51E-11,8.51E-11,7.25E+16,2.42E+18
165.931,seconds,5.41E-10,Integrated,cgs,8.24E-11,8.24E-11,7.25E+16,2.42E+18
170.358,seconds,4.29E-10,Integrated,cgs,7.71E-11,7.71E-11,7.25E+16,2.42E+18
174.619,seconds,3.56E-10,Integrated,cgs,6.51E-11,6.51E-11,7.25E+16,2.42E+18
179.188,seconds,3.35E-10,Integrated,cgs,6.11E-11,6.11E-11,7.25E+16,2.42E+18
183.229,seconds,3.54E-10,Integrated,cgs,6.68E-11,6.68E-11,7.25E+16,2.42E+18
187.516,seconds,3.47E-10,Integrated,cgs,6.76E-11,6.76E-11,7.25E+16,2.42E+18
192.133,seconds,5.26E-10,Integrated,cgs,7.83E-11,7.83E-11,7.25E+16,2.42E+18
197.731,seconds,2.62E-10,Integrated,cgs,4.94E-11,4.94E-11,7.25E+16,2.42E+18
202.449,seconds,3.45E-10,Integrated,cgs,6.31E-11,6.31E-11,7.25E+16,2.42E+18
207.131,seconds,3.07E-10,Integrated,cgs,5.98E-11,5.98E-11,7.25E+16,2.42E+18
211.567,seconds,4.31E-10,Integrated,cgs,7.86E-11,7.86E-11,7.25E+16,2.42E+18
215.964,seconds,3.05E-10,Integrated,cgs,5.57E-11,5.57E-11,7.25E+16,2.42E+18
232.408,seconds,2.70E-10,Integrated,cgs,5.66E-11,5.66E-11,7.25E+16,2.42E+18
249.228,seconds,2.68E-10,Integrated,cgs,6.04E-11,6.04E-11,7.25E+16,2.42E+18
268.141,seconds,2.06E-10,Integrated,cgs,4.64E-11,4.64E-11,7.25E+16,2.42E+18
292.546,seconds,2.41E-10,Integrated,cgs,5.05E-11,5.05E-11,7.25E+16,2.42E+18
317.166,seconds,1.95E-10,Integrated,cgs,4.29E-11,4.29E-11,7.25E+16,2.42E+18
343.522,seconds,1.78E-10,Integrated,cgs,3.92E-11,3.92E-11,7.25E+16,2.42E+18
371.846,seconds,1.80E-10,Integrated,cgs,3.94E-11,3.94E-11,7.25E+16,2.42E+18
396.788,seconds,2.36E-10,Integrated,cgs,5.32E-11,5.32E-11,7.25E+16,2.42E+18
424.286,seconds,1.33E-10,Integrated,cgs,3.02E-11,3.02E-11,7.25E+16,2.42E+18
453.044,seconds,1.71E-10,Integrated,cgs,3.85E-11,3.85E-11,7.25E+16,2.42E+18
477.777,seconds,2.11E-10,Integrated,cgs,4.72E-11,4.72E-11,7.25E+16,2.42E+18
503.085,seconds,1.89E-10,Integrated,cgs,4.26E-11,4.26E-11,7.25E+16,2.42E+18
531.782,seconds,1.71E-10,Integrated,cgs,3.84E-11,3.84E-11,7.25E+16,2.42E+18
558.389,seconds,1.39E-10,Integrated,cgs,3.05E-11,3.05E-11,7.25E+16,2.42E+18
594.353,seconds,1.58E-10,Integrated,cgs,3.53E-11,3.53E-11,7.25E+16,2.42E+18
623.324,seconds,1.66E-10,Integrated,cgs,3.62E-11,3.62E-11,7.25E+16,2.42E+18
649.026,seconds,1.88E-10,Integrated,cgs,4.23E-11,4.23E-11,7.25E+16,2.42E+18
678.116,seconds,1.65E-10,Integrated,cgs,3.61E-11,3.61E-11,7.25E+16,2.42E+18
711.184,seconds,1.43E-10,Integrated,cgs,3.24E-11,3.24E-11,7.25E+16,2.42E+18
754.188,seconds,8.18E-11,Integrated,cgs,1.84E-11,1.84E-11,7.25E+16,2.42E+18
808.061,seconds,1.03E-10,Integrated,cgs,2.26E-11,2.26E-11,7.25E+16,2.42E+18
857.889,seconds,1.12E-10,Integrated,cgs,2.52E-11,2.52E-11,7.25E+16,2.42E+18
899.225,seconds,9.91E-11,Integrated,cgs,2.17E-11,2.17E-11,7.25E+16,2.42E+18
939.458,seconds,1.05E-10,Integrated,cgs,2.36E-11,2.36E-11,7.25E+16,2.42E+18
995.197,seconds,1.04E-10,Integrated,cgs,2.28E-11,2.28E-11,7.25E+16,2.42E+18
1041.388,seconds,9.33E-11,Integrated,cgs,2.07E-11,2.07E-11,7.25E+16,2.42E+18
1092.415,seconds,1.04E-10,Integrated,cgs,2.34E-11,2.34E-11,7.25E+16,2.42E+18
1129.911,seconds,1.25E-10,Integrated,cgs,2.81E-11,2.81E-11,7.25E+16,2.42E+18
1178.884,seconds,8.94E-11,Integrated,cgs,2.03E-11,2.03E-11,7.25E+16,2.42E+18
1239.241,seconds,5.68E-11,Integrated,cgs,1.29E-11,1.29E-11,7.25E+16,2.42E+18
1317.912,seconds,7.73E-11,Integrated,cgs,1.75E-11,1.75E-11,7.25E+16,2.42E+18
1383.52,seconds,6.45E-11,Integrated,cgs,1.47E-11,1.47E-11,7.25E+16,2.42E+18
1449.712,seconds,7.00E-11,Integrated,cgs,1.54E-11,1.54E-11,7.25E+16,2.42E+18
1542.817,seconds,6.26E-11,Integrated,cgs,1.35E-11,1.35E-11,7.25E+16,2.42E+18
1612.614,seconds,7.49E-11,Integrated,cgs,1.55E-11,1.55E-11,7.25E+16,2.42E+18
16720.197,seconds,4.46E-12,Integrated,cgs,1.13E-12,1.13E-12,7.25E+16,2.42E+18
16923.758,seconds,6.50E-12,Integrated,cgs,1.47E-12,1.47E-12,7.25E+16,2.42E+18
17146.757,seconds,5.57E-12,Integrated,cgs,1.26E-12,1.26E-12,7.25E+16,2.42E+18
17339.652,seconds,3.88E-12,Integrated,cgs,1.02E-12,1.02E-12,7.25E+16,2.42E+18
17597.103,seconds,4.39E-12,Integrated,cgs,1.14E-12,1.14E-12,7.25E+16,2.42E+18
17772.089,seconds,4.48E-12,Integrated,cgs,1.10E-12,1.10E-12,7.25E+16,2.42E+18
18836.37,seconds,3.90E-12,Integrated,cgs,6.77E-13,6.77E-13,7.25E+16,2.42E+18
88866.759,seconds,4.40E-13,Integrated,cgs,8.35E-14,8.35E-14,7.25E+16,2.42E+18
