Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup
5248.728288,,,s,0.456210373,0.008326778,0.008326778,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset
5344.775107,,,s,0.344831078,0.019713808,0.019713808,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset
5412.888288,,,s,0.585430397,0.021175589,0.021175589,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset
5442.264288,,,s,0.50265758,0.016411688,0.016411688,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
5442.264288,,,s,0.5399211,0.016766219,0.016766219,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
5571.864288,,,s,0.459922949,0.012534177,0.012534177,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
5610.744288,,,s,0.333009099,0.009075422,0.009075422,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
5631.480288,,,s,0.491068621,0.015909977,0.015909977,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
5668.632288,,,s,0.495091055,0.013492606,0.013492606,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
5817.240288,,,s,0.420692874,0.00767851,0.00767851,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset
5845.752288,,,s,0.486142502,0.016807472,0.016807472,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
6035.832288,,,s,0.484711536,0.015300305,0.015300305,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
6055.704288,,,s,0.45570635,0.016483344,0.016483344,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
6225.048288,,,s,0.487767936,0.015959167,0.015959167,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
6239.736288,,,s,0.451528409,0.012305403,0.012305403,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
6284.664288,,,s,0.318021221,0.008666961,0.008666961,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
6369.336288,,,s,0.456569723,0.033901691,0.033901691,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
6470.424288,,,s,0.380158894,0.006938682,0.006938682,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset
6579.288288,,,s,0.443287087,0.012080804,0.012080804,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
6671.736288,,,s,0.482475503,0.013148797,0.013148797,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset
