Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Model,Frequency,FrequencyLower,FrequencyUpper,FrequencyUnits
1418815.958,,,seconds,0.0187,0.0063,0.0063,mjy,Spectral,SpectralFlux,3000000000,,,hz
1502623.958,,,seconds,0.0151,0.0039,0.0039,mjy,Spectral,SpectralFlux,3000000000,,,hz
1583839.958,,,seconds,0.0145,0.0037,0.0037,mjy,Spectral,SpectralFlux,3000000000,,,hz
1932031.958,,,seconds,0.0225,0.0034,0.0034,mjy,Spectral,SpectralFlux,3000000000,,,hz
2096191.958,,,seconds,0.0256,0.0029,0.0029,mjy,Spectral,SpectralFlux,3000000000,,,hz
2632740,,,seconds,0.034,0.0036,0.0036,mjy,Spectral,SpectralFlux,3000000000,,,hz
2697535.958,,,seconds,0.034,0.0036,0.0036,mjy,Spectral,SpectralFlux,3000000000,,,hz
3996860,,,seconds,0.044,0.004,0.004,mjy,Spectral,SpectralFlux,3000000000,,,hz
4688930,,,seconds,0.048,0.006,0.006,mjy,Spectral,SpectralFlux,3000000000,,,hz
4943810,,,seconds,0.061,0.009,0.009,mjy,Spectral,SpectralFlux,3000000000,,,hz
8046430,,,seconds,0.07,0.0057,0.0057,mjy,Spectral,SpectralFlux,3000000000,,,hz
9890290,,,seconds,0.08905,0.01585,0.01585,mjy,Spectral,SpectralFlux,3000000000,,,hz
14060000,,,seconds,0.096,0.015,0.015,mjy,Spectral,SpectralFlux,3000000000,,,hz
18741000,,,seconds,0.068,0.021,0.021,mjy,Spectral,SpectralFlux,3000000000,,,hz
22184100,,,seconds,0.055,0.012,0.012,mjy,Spectral,SpectralFlux,3000000000,,,hz
896095.9584,,,seconds,0.0078,0.0026,0.0026,mjy,Spectral,SpectralFlux,6000000000,,,hz
1423999.958,,,seconds,0.0283,0.0054,0.0054,mjy,Spectral,SpectralFlux,6000000000,,,hz
1671967.958,,,seconds,0.0159,0.0055,0.0055,mjy,Spectral,SpectralFlux,6000000000,,,hz
1682208,,,seconds,0.019,0.006,0.006,mjy,Spectral,SpectralFlux,6000000000,,,hz
1845631.958,,,seconds,0.0136,0.0029,0.0029,mjy,Spectral,SpectralFlux,6000000000,,,hz
2018431.958,,,seconds,0.0226,0.0034,0.0034,mjy,Spectral,SpectralFlux,6000000000,,,hz
3389472,,,seconds,0.027,0.006,0.006,mjy,Spectral,SpectralFlux,6000000000,,,hz
4601660,,,seconds,0.032,0.004,0.004,mjy,Spectral,SpectralFlux,6000000000,,,hz
5802620,,,seconds,0.0426,0.0041,0.0041,mjy,Spectral,SpectralFlux,6000000000,,,hz
6909540,,,seconds,0.037,0.004,0.004,mjy,Spectral,SpectralFlux,6000000000,,,hz
9631140,,,seconds,0.0637,0.006,0.006,mjy,Spectral,SpectralFlux,6000000000,,,hz
14060000,,,seconds,0.0676,0.0083,0.0083,mjy,Spectral,SpectralFlux,6000000000,,,hz
18738400,,,seconds,0.039,0.009,0.009,mjy,Spectral,SpectralFlux,6000000000,,,hz
23100000,,,seconds,0.028511163,0.007,0.007,mjy,Spectral,SpectralFlux,6000000000,,,hz
25700000,,,seconds,0.023759302,0.007,0.007,mjy,Spectral,SpectralFlux,6000000000,,,hz
27600000,,,seconds,0.025660047,0.0075,0.0075,mjy,Spectral,SpectralFlux,6000000000,,,hz
9473760,,,seconds,9.55E-05,1.19E-05,1.19E-05,mjy,Spectral,SpectralFlux,5.00E+14,,,hz
11816928,,,seconds,8.26E-05,1.90E-05,1.90E-05,mjy,Spectral,SpectralFlux,5.00E+14,,,hz
796436,,,seconds,4.45E-07,1.92E-07,1.92E-07,mjy,Spectral,SpectralFlux,2.42E+17,,,hz
1330009.875,,,seconds,5.15E-07,1.66E-07,1.66E-07,mjy,Spectral,SpectralFlux,2.42E+17,,,hz
1377615,,,seconds,5.28E-07,1.70E-07,1.70E-07,mjy,Spectral,SpectralFlux,2.42E+17,,,hz
9450950,,,seconds,2.17E-06,2.37E-07,2.37E-07,mjy,Spectral,SpectralFlux,2.42E+17,,,hz
13806720,,,seconds,2.31E-06,2.60E-07,2.60E-07,mjy,Spectral,SpectralFlux,2.42E+17,,,hz
22463100,,,seconds,1.22E-06,2.00E-07,2.00E-07,mjy,Spectral,SpectralFlux,2.42E+17,,,hz
30885700,,,seconds,6.80E-07,1.81E-07,1.81E-07,mjy,Spectral,SpectralFlux,2.42E+17,,,hz
