Time,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits
1418815.958,s,0.0187,0.0063,0.0063,mJy,Spectral Flux,3000000000,,,Hz
1502623.958,s,0.0151,0.0039,0.0039,mJy,Spectral Flux,3000000000,,,Hz
1583839.958,s,0.0145,0.0037,0.0037,mJy,Spectral Flux,3000000000,,,Hz
1932031.958,s,0.0225,0.0034,0.0034,mJy,Spectral Flux,3000000000,,,Hz
2096191.958,s,0.0256,0.0029,0.0029,mJy,Spectral Flux,3000000000,,,Hz
2632740,s,0.034,0.0036,0.0036,mJy,Spectral Flux,3000000000,,,Hz
2697535.958,s,0.034,0.0036,0.0036,mJy,Spectral Flux,3000000000,,,Hz
3996860,s,0.044,0.004,0.004,mJy,Spectral Flux,3000000000,,,Hz
4688930,s,0.048,0.006,0.006,mJy,Spectral Flux,3000000000,,,Hz
4943810,s,0.061,0.009,0.009,mJy,Spectral Flux,3000000000,,,Hz
8046430,s,0.07,0.0057,0.0057,mJy,Spectral Flux,3000000000,,,Hz
9890290,s,0.08905,0.01585,0.01585,mJy,Spectral Flux,3000000000,,,Hz
14060000,s,0.096,0.015,0.015,mJy,Spectral Flux,3000000000,,,Hz
18741000,s,0.068,0.021,0.021,mJy,Spectral Flux,3000000000,,,Hz
22184100,s,0.055,0.012,0.012,mJy,Spectral Flux,3000000000,,,Hz
896095.9584,s,0.0078,0.0026,0.0026,mJy,Spectral Flux,6000000000,,,Hz
1423999.958,s,0.0283,0.0054,0.0054,mJy,Spectral Flux,6000000000,,,Hz
1671967.958,s,0.0159,0.0055,0.0055,mJy,Spectral Flux,6000000000,,,Hz
1682208,s,0.019,0.006,0.006,mJy,Spectral Flux,6000000000,,,Hz
1845631.958,s,0.0136,0.0029,0.0029,mJy,Spectral Flux,6000000000,,,Hz
2018431.958,s,0.0226,0.0034,0.0034,mJy,Spectral Flux,6000000000,,,Hz
3389472,s,0.027,0.006,0.006,mJy,Spectral Flux,6000000000,,,Hz
4601660,s,0.032,0.004,0.004,mJy,Spectral Flux,6000000000,,,Hz
5802620,s,0.0426,0.0041,0.0041,mJy,Spectral Flux,6000000000,,,Hz
6909540,s,0.037,0.004,0.004,mJy,Spectral Flux,6000000000,,,Hz
9631140,s,0.0637,0.006,0.006,mJy,Spectral Flux,6000000000,,,Hz
14060000,s,0.0676,0.0083,0.0083,mJy,Spectral Flux,6000000000,,,Hz
18738400,s,0.039,0.009,0.009,mJy,Spectral Flux,6000000000,,,Hz
23100000,s,0.028511163,0.007,0.007,mJy,Spectral Flux,6000000000,,,Hz
25700000,s,0.023759302,0.007,0.007,mJy,Spectral Flux,6000000000,,,Hz
27600000,s,0.025660047,0.0075,0.0075,mJy,Spectral Flux,6000000000,,,Hz
9473760,s,9.55E-05,1.19E-05,1.19E-05,mJy,Spectral Flux,5.00E+14,,,Hz
11816928,s,8.26E-05,1.90E-05,1.90E-05,mJy,Spectral Flux,5.00E+14,,,Hz
796436,s,4.45E-07,1.92E-07,1.92E-07,mJy,Spectral Flux,2.42E+17,,,Hz
1330009.875,s,5.15E-07,1.66E-07,1.66E-07,mJy,Spectral Flux,2.42E+17,,,Hz
1377615,s,5.28E-07,1.70E-07,1.70E-07,mJy,Spectral Flux,2.42E+17,,,Hz
9450950,s,2.17E-06,2.37E-07,2.37E-07,mJy,Spectral Flux,2.42E+17,,,Hz
13806720,s,2.31E-06,2.60E-07,2.60E-07,mJy,Spectral Flux,2.42E+17,,,Hz
22463100,s,1.22E-06,2.00E-07,2.00E-07,mJy,Spectral Flux,2.42E+17,,,Hz
30885700,s,6.80E-07,1.81E-07,1.81E-07,mJy,Spectral Flux,2.42E+17,,,Hz
