Time,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,SlopGroup,Include,,,,,,,,,,,,,,
70545.6,s,0.017378008,0.001818352,0.001818352,mJy,Spectral Flux,6.86E+14,,,Hz,B,B1_offset,slop,1,,,,,,,,,,,,,,
79047.36,s,0.019769696,0.003325979,0.003325979,mJy,Spectral Flux,6.86E+14,,,Hz,B,B1_offset,slop,1,,,,,,,,,,,,,,
14508.00003,s,0.1738,0.0081,0.0081,mJy,Spectral Flux,6.86E+14,,,Hz,B,B3_offset,slop,1,,,,,,,,,,,,,,
15706.99996,s,0.166,0.0086,0.0086,mJy,Spectral Flux,6.86E+14,,,Hz,B,B3_offset,slop,1,,,,,,,,,,,,,,
14473.6,s,0.1821,0.0018,0.0018,mJy,Spectral Flux,6.86E+14,,,Hz,B,B3_offset,slop,1,,,,,,,,,,,,,,
16436.8,s,0.1518,0.0021,0.0021,mJy,Spectral Flux,6.86E+14,,,Hz,B,B3_offset,slop,1,,,,,,,,,,,,,,
17937.4,s,0.1282,0.0021,0.0021,mJy,Spectral Flux,6.86E+14,,,Hz,B,B3_offset,slop,1,,,,,,,,,,,,,,
19398.1,s,0.1182,0.0016,0.0016,mJy,Spectral Flux,6.86E+14,,,Hz,B,B3_offset,slop,1,,,,,,,,,,,,,,
20965.3,s,0.1067,0.0022,0.0022,mJy,Spectral Flux,6.86E+14,,,Hz,B,B3_offset,slop,1,,,,,,,,,,,,,,
89309,s,0.01959,0.00172,0.00172,mJy,Spectral Flux,6.28E+14,,,Hz,g,g_offset,slop,1,,,,,,,,,,,,,,
520390,s,0.001514,0.000243,0.000243,mJy,Spectral Flux,6.28E+14,,,Hz,g,g_offset,slop,1,,,,,,,,,,,,,,
21320.99997,s,0.1851,0.0116,0.0116,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,slop,1,,,,,,,,,,,,,,
72152.64,s,0.035645113,0.002532001,0.002532001,mJy,Spectral Flux,3.43E+14,,,Hz,I,I1_offset,slop,1,,,,,,,,,,,,,,
224890.56,s,0.007798301,0.001006265,0.001006265,mJy,Spectral Flux,3.43E+14,,,Hz,I,I1_offset,slop,1,,,,,,,,,,,,,,
25878.59997,s,0.119124201,0.004308839,0.004308839,mJy,Spectral Flux,3.93E+14,,,Hz,i,i2_offset,slop,1,,,,,,,,,,,,,,
27314.40001,s,0.105681751,0.004756462,0.004756462,mJy,Spectral Flux,3.93E+14,,,Hz,i,i2_offset,slop,1,,,,,,,,,,,,,,
28683.59999,s,0.098174794,0.005278156,0.005278156,mJy,Spectral Flux,3.93E+14,,,Hz,i,i2_offset,slop,1,,,,,,,,,,,,,,
33694.20003,s,0.089536477,0.004029805,0.004029805,mJy,Spectral Flux,3.93E+14,,,Hz,i,i2_offset,slop,1,,,,,,,,,,,,,,
34874.40001,s,0.081658237,0.020844737,0.020844737,mJy,Spectral Flux,3.93E+14,,,Hz,i,i2_offset,slop,1,,,,,,,,,,,,,,
70487.99997,s,0.034040819,0.00123129,0.00123129,mJy,Spectral Flux,3.93E+14,,,Hz,i,i2_offset,slop,1,,,,,,,,,,,,,,
204762,s,0.010375284,0.001745499,0.001745499,mJy,Spectral Flux,3.93E+14,,,Hz,i,i2_offset,slop,1,,,,,,,,,,,,,,
245070,s,0.005395106,0.000989558,0.000989558,mJy,Spectral Flux,3.93E+14,,,Hz,i,i2_offset,slop,1,,,,,,,,,,,,,,
298200,s,0.005395106,9.85E-05,9.85E-05,mJy,Spectral Flux,3.93E+14,,,Hz,i,i2_offset,slop,1,,,,,,,,,,,,,,
451800,s,0.002910717,0.000105283,0.000105283,mJy,Spectral Flux,3.93E+14,,,Hz,i,i2_offset,slop,1,,,,,,,,,,,,,,
24742.8,s,0.124738351,0.009922989,0.009922989,mJy,Spectral Flux,3.43E+14,,,Hz,I,I2_offset,slop,1,,,,,,,,,,,,,,
16402,s,0.1932,0.0168,0.0168,mJy,Spectral Flux,3.43E+14,,,Hz,I,I3_offset,slop,1,,,,,,,,,,,,,,
17412.9,s,0.1816,0.0018,0.0018,mJy,Spectral Flux,3.43E+14,,,Hz,I,I3_offset,slop,1,,,,,,,,,,,,,,
18936.7,s,0.165,0.0015,0.0015,mJy,Spectral Flux,3.43E+14,,,Hz,I,I3_offset,slop,1,,,,,,,,,,,,,,
20447.9,s,0.1472,0.0019,0.0019,mJy,Spectral Flux,3.43E+14,,,Hz,I,I3_offset,slop,1,,,,,,,,,,,,,,
23665.5,s,0.1385,0.0143,0.0143,mJy,Spectral Flux,3.43E+14,,,Hz,I,I3_offset,slop,1,,,,,,,,,,,,,,
91307,s,0.02559,0.00115,0.00115,mJy,Spectral Flux,3.93E+14,,,Hz,i,i3_offset,slop,1,,,,,,,,,,,,,,
522792,s,0.002512,0.000135,0.000135,mJy,Spectral Flux,3.93E+14,,,Hz,i,i3_offset,slop,1,,,,,,,,,,,,,,
781560,s,0.00177,9.50E-05,9.50E-05,mJy,Spectral Flux,3.93E+14,,,Hz,i,i3_offset,slop,1,,,,,,,,,,,,,,
17109.49997,s,0.1903,0.0097,0.0097,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop,1,,,,,,,,,,,,,,
19132.49998,s,0.1585,0.0084,0.0084,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop,1,,,,,,,,,,,,,,
21320.99997,s,0.1552,0.0084,0.0084,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop,1,,,,,,,,,,,,,,
19096.00004,s,0.1838,0.0158,0.0158,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset,slop,1,,,,,,,,,,,,,,
21320.99997,s,0.1688,0.014,0.014,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset,slop,1,,,,,,,,,,,,,,
43649.28,s,0.070469307,0.011313143,0.011313143,mJy,Spectral Flux,4.35E+14,,,Hz,R,R1_offset,slop,1,,,,,,,,,,,,,,
44340.48,s,0.059156163,0.013024406,0.013024406,mJy,Spectral Flux,4.35E+14,,,Hz,R,R1_offset,slop,1,,,,,,,,,,,,,,
45023.04,s,0.03801894,0.01403061,0.01403061,mJy,Spectral Flux,4.35E+14,,,Hz,R,R1_offset,slop,1,,,,,,,,,,,,,,
45982.08,s,0.031045596,0.009368555,0.009368555,mJy,Spectral Flux,4.35E+14,,,Hz,R,R1_offset,slop,1,,,,,,,,,,,,,,
46526.4,s,0.043251383,0.011628607,0.011628607,mJy,Spectral Flux,4.35E+14,,,Hz,R,R1_offset,slop,1,,,,,,,,,,,,,,
47226.24,s,0.043251383,0.00727645,0.00727645,mJy,Spectral Flux,4.35E+14,,,Hz,R,R1_offset,slop,1,,,,,,,,,,,,,,
48254.4,s,0.0519996,0.006709842,0.006709842,mJy,Spectral Flux,4.35E+14,,,Hz,R,R1_offset,slop,1,,,,,,,,,,,,,,
49213.44,s,0.033113112,0.007527253,0.007527253,mJy,Spectral Flux,4.35E+14,,,Hz,R,R1_offset,slop,1,,,,,,,,,,,,,,
50811.84,s,0.035318317,0.006742412,0.006742412,mJy,Spectral Flux,4.35E+14,,,Hz,R,R1_offset,slop,1,,,,,,,,,,,,,,
51563.52,s,0.02831392,0.004545517,0.004545517,mJy,Spectral Flux,4.35E+14,,,Hz,R,R1_offset,slop,1,,,,,,,,,,,,,,
52194.24,s,0.033419504,0.00637992,0.00637992,mJy,Spectral Flux,4.35E+14,,,Hz,R,R1_offset,slop,1,,,,,,,,,,,,,,
54423.36,s,0.029922646,0.006588066,0.006588066,mJy,Spectral Flux,4.35E+14,,,Hz,R,R1_offset,slop,1,,,,,,,,,,,,,,
55218.24,s,0.046558609,0.006379528,0.006379528,mJy,Spectral Flux,4.35E+14,,,Hz,R,R1_offset,slop,1,,,,,,,,,,,,,,
