Time,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,SlopGroup,Include,,,,,,,,,,,,,,
70545.6,s,0.017378008,0.001818352,0.001818352,mJy,Spectral Flux,6.86E+14,,,Hz,B,B1_offset,slop,1,,,,,,,,,,,,,,
79047.36,s,0.019769696,0.003325979,0.003325979,mJy,Spectral Flux,6.86E+14,,,Hz,B,B1_offset,slop,1,,,,,,,,,,,,,,
4075.700026,s,0.9445,0.0383,0.0383,mJy,Spectral Flux,6.86E+14,,,Hz,B,B3_offset,slop,0,,,,,,,,,,,,,,
5493.700022,s,0.6333,0.0201,0.0201,mJy,Spectral Flux,6.86E+14,,,Hz,B,B3_offset,slop,0,,,,,,,,,,,,,,
6117.299971,s,0.5582,0.0182,0.0182,mJy,Spectral Flux,6.86E+14,,,Hz,B,B3_offset,slop,0,,,,,,,,,,,,,,
6720.700032,s,0.4479,0.0272,0.0272,mJy,Spectral Flux,6.86E+14,,,Hz,B,B3_offset,slop,0,,,,,,,,,,,,,,
7789.000003,s,0.4063,0.0085,0.0085,mJy,Spectral Flux,6.86E+14,,,Hz,B,B3_offset,slop,0,,,,,,,,,,,,,,
8983.999958,s,0.332,0.009,0.009,mJy,Spectral Flux,6.86E+14,,,Hz,B,B3_offset,slop,0,,,,,,,,,,,,,,
10235.99998,s,0.3039,0.0077,0.0077,mJy,Spectral Flux,6.86E+14,,,Hz,B,B3_offset,slop,0,,,,,,,,,,,,,,
11435,s,0.2455,0.0097,0.0097,mJy,Spectral Flux,6.86E+14,,,Hz,B,B3_offset,slop,0,,,,,,,,,,,,,,
14508.00003,s,0.1738,0.0081,0.0081,mJy,Spectral Flux,6.86E+14,,,Hz,B,B3_offset,slop,1,,,,,,,,,,,,,,
15706.99996,s,0.166,0.0086,0.0086,mJy,Spectral Flux,6.86E+14,,,Hz,B,B3_offset,slop,1,,,,,,,,,,,,,,
7154.7,s,0.4677,0.0021,0.0021,mJy,Spectral Flux,6.86E+14,,,Hz,B,B3_offset,slop,0,,,,,,,,,,,,,,
8579.2,s,0.3611,0.002,0.002,mJy,Spectral Flux,6.86E+14,,,Hz,B,B3_offset,slop,0,,,,,,,,,,,,,,
10013.4,s,0.2948,0.0022,0.0022,mJy,Spectral Flux,6.86E+14,,,Hz,B,B3_offset,slop,0,,,,,,,,,,,,,,
11512.3,s,0.2399,0.0018,0.0018,mJy,Spectral Flux,6.86E+14,,,Hz,B,B3_offset,slop,0,,,,,,,,,,,,,,
13015.9,s,0.2074,0.0021,0.0021,mJy,Spectral Flux,6.86E+14,,,Hz,B,B3_offset,slop,0,,,,,,,,,,,,,,
14473.6,s,0.1821,0.0018,0.0018,mJy,Spectral Flux,6.86E+14,,,Hz,B,B3_offset,slop,1,,,,,,,,,,,,,,
16436.8,s,0.1518,0.0021,0.0021,mJy,Spectral Flux,6.86E+14,,,Hz,B,B3_offset,slop,1,,,,,,,,,,,,,,
17937.4,s,0.1282,0.0021,0.0021,mJy,Spectral Flux,6.86E+14,,,Hz,B,B3_offset,slop,1,,,,,,,,,,,,,,
19398.1,s,0.1182,0.0016,0.0016,mJy,Spectral Flux,6.86E+14,,,Hz,B,B3_offset,slop,1,,,,,,,,,,,,,,
20965.3,s,0.1067,0.0022,0.0022,mJy,Spectral Flux,6.86E+14,,,Hz,B,B3_offset,slop,1,,,,,,,,,,,,,,
89309,s,0.01959,0.00172,0.00172,mJy,Spectral Flux,6.28E+14,,,Hz,g,g_offset,slop,1,,,,,,,,,,,,,,
520390,s,0.001514,0.000243,0.000243,mJy,Spectral Flux,6.28E+14,,,Hz,g,g_offset,slop,1,,,,,,,,,,,,,,
4251.00001,s,1.232,0.0577,0.0577,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,slop,0,,,,,,,,,,,,,,
4613.000026,s,0.9994,0.0493,0.0493,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,slop,0,,,,,,,,,,,,,,
4975.500038,s,0.9322,0.0457,0.0457,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,slop,0,,,,,,,,,,,,,,
5338.499962,s,0.9268,0.0464,0.0464,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,slop,0,,,,,,,,,,,,,,
5702.999962,s,0.9088,0.0445,0.0445,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,slop,0,,,,,,,,,,,,,,
6068.500042,s,0.7364,0.0372,0.0372,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,slop,0,,,,,,,,,,,,,,
6431.499965,s,0.6474,0.0319,0.0319,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,slop,0,,,,,,,,,,,,,,
6859.999987,s,0.6645,0.0336,0.0336,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,slop,0,,,,,,,,,,,,,,
7613.000006,s,0.5563,0.0288,0.0288,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,slop,0,,,,,,,,,,,,,,
8066.500042,s,0.4779,0.0251,0.0251,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,slop,0,,,,,,,,,,,,,,
8973.000029,s,0.4404,0.0237,0.0237,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,slop,0,,,,,,,,,,,,,,
10061.49997,s,0.3858,0.0204,0.0204,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,slop,0,,,,,,,,,,,,,,
11738.50004,s,0.326,0.0176,0.0176,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,slop,0,,,,,,,,,,,,,,
13511.00002,s,0.3153,0.0173,0.0173,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,slop,0,,,,,,,,,,,,,,
15328.49996,s,0.2395,0.014,0.014,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,slop,0,,,,,,,,,,,,,,
17109.49997,s,0.2184,0.0144,0.0144,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,slop,0,,,,,,,,,,,,,,
19132.49998,s,0.2017,0.0129,0.0129,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,slop,0,,,,,,,,,,,,,,
21320.99997,s,0.1851,0.0116,0.0116,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,slop,1,,,,,,,,,,,,,,
72152.64,s,0.035645113,0.002532001,0.002532001,mJy,Spectral Flux,3.43E+14,,,Hz,I,I1_offset,slop,1,,,,,,,,,,,,,,
224890.56,s,0.007798301,0.001006265,0.001006265,mJy,Spectral Flux,3.43E+14,,,Hz,I,I1_offset,slop,1,,,,,,,,,,,,,,
25878.59997,s,0.119124201,0.004308839,0.004308839,mJy,Spectral Flux,3.93E+14,,,Hz,i,i2_offset,slop,1,,,,,,,,,,,,,,
27314.40001,s,0.105681751,0.004756462,0.004756462,mJy,Spectral Flux,3.93E+14,,,Hz,i,i2_offset,slop,1,,,,,,,,,,,,,,
28683.59999,s,0.098174794,0.005278156,0.005278156,mJy,Spectral Flux,3.93E+14,,,Hz,i,i2_offset,slop,1,,,,,,,,,,,,,,
33694.20003,s,0.089536477,0.004029805,0.004029805,mJy,Spectral Flux,3.93E+14,,,Hz,i,i2_offset,slop,1,,,,,,,,,,,,,,
34874.40001,s,0.081658237,0.020844737,0.020844737,mJy,Spectral Flux,3.93E+14,,,Hz,i,i2_offset,slop,1,,,,,,,,,,,,,,
70487.99997,s,0.034040819,0.00123129,0.00123129,mJy,Spectral Flux,3.93E+14,,,Hz,i,i2_offset,slop,1,,,,,,,,,,,,,,
204762,s,0.010375284,0.001745499,0.001745499,mJy,Spectral Flux,3.93E+14,,,Hz,i,i2_offset,slop,1,,,,,,,,,,,,,,
245070,s,0.005395106,0.000989558,0.000989558,mJy,Spectral Flux,3.93E+14,,,Hz,i,i2_offset,slop,1,,,,,,,,,,,,,,
