Time,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,SlopGroup
641.0016,s,0.010626739,0.009344408,0.009344408,mJy,Spectral Flux,1.55E+15,,,Hz,uvw2,uvw2_offset,slop
814.1472,s,0.009691701,0.009480838,0.009480838,mJy,Spectral Flux,1.55E+15,,,Hz,uvw2,uvw2_offset,slop
1046.5632,s,0.012554517,0.010766383,0.010766383,mJy,Spectral Flux,1.55E+15,,,Hz,uvw2,uvw2_offset,slop
1219.6224,s,0.009444957,0.009313979,0.009313979,mJy,Spectral Flux,1.55E+15,,,Hz,uvw2,uvw2_offset,slop
6388.5888,s,0.002447936,0.001901423,0.001901423,mJy,Spectral Flux,1.55E+15,,,Hz,uvw2,uvw2_offset,slop
689.9904,s,0.030507035,0.017336604,0.017336604,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset,slop
1095.4656,s,0.018518252,0.014252457,0.014252457,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset,slop
6798.1248,s,0.007537026,0.00329083,0.00329083,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset,slop
715.1328,s,0.068045592,0.0238275,0.0238275,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,slop
1120.2624,s,0.019444644,0.015178849,0.015178849,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,slop
1466.8992,s,0.030255198,0.01814364,0.01814364,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,slop
5567.3568,s,0.004830588,0.002646853,0.002646853,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,slop
7003.4112,s,0.004839494,0.003557164,0.003557164,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,slop
340.5024,s,0.245923482,0.027951838,0.027951838,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
370.4832,s,0.265950003,0.028703402,0.028703402,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
405.3024,s,0.137404198,0.019480795,0.019480795,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
445.3056,s,0.146689828,0.020099653,0.020099653,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
485.3952,s,0.101484566,0.018001191,0.018001191,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
530.2368,s,0.113448824,0.017154653,0.017154653,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
565.5744,s,0.125083493,0.028255707,0.028255707,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
739.584,s,0.108043837,0.029917044,0.029917044,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
1145.1456,s,0.067421747,0.033724067,0.033724067,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
1304.8128,s,0.053456436,0.013017474,0.013017474,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
1491.3504,s,0.042854852,0.039416107,0.039416107,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
5772.2112,s,0.02030486,0.004324005,0.004324005,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,slop
591.2352,s,0.066313202,0.044894162,0.044894162,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,slop
764.3808,s,0.084488967,0.055833994,0.055833994,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,slop
1330.0416,s,0.04516479,0.023567464,0.023567464,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,slop
1516.0608,s,0.055821307,0.051847562,0.051847562,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,slop
5977.4976,s,0.022824433,0.007576885,0.007576885,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,slop
11285.6544,s,0.0113658,0.003282289,0.003282289,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,slop
97.8048,s,0.557699172,0.138519706,0.138519706,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,slop
665.6256,s,0.207014135,0.080656933,0.080656933,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,slop
1071.0144,s,0.259179113,0.099664675,0.099664675,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,slop
1416.96,s,0.193731392,0.101261575,0.101261575,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,slop
5157.0432,s,0.032930627,0.012494434,0.012494434,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,slop
6593.2704,s,0.040513522,0.015943814,0.015943814,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,slop
28524.096,s,0.01,0.000710336,0.000710336,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
29484,s,0.00963829,0.000928654,0.000928654,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
31943.808,s,0.007655966,0.000737656,0.000737656,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
118343.808,s,0.004017908,0.000319626,0.000319626,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
209424.096,s,0.001169499,5.26E-05,5.26E-05,mJy,Spectral Flux,6.28E+14,,,Hz,g,g_offset,slop
209424.096,s,0.003404082,0.000123129,0.000123129,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
209424.096,s,0.00519996,0.000234037,0.000234037,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset,slop
209424.096,s,0.006792036,0.000365159,0.000365159,mJy,Spectral Flux,3.28E+14,,,Hz,z,z_offset,slop
209424.096,s,0.013304544,0.001501338,0.001501338,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop
209424.096,s,0.016143586,0.002466297,0.002466297,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,slop
209424.096,s,0.017060824,0.003129256,0.003129256,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset,slop
302964.192,s,0.001037528,0.000166565,0.000166565,mJy,Spectral Flux,6.28E+14,,,Hz,g,g_offset,slop
302964.192,s,0.002857591,0.00027533,0.00027533,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
302964.192,s,0.004092607,0.000394325,0.000394325,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset,slop
302964.192,s,0.004965923,0.000600765,0.000600765,mJy,Spectral Flux,3.28E+14,,,Hz,z,z_offset,slop
904.944,s,1.80E-10,3.96E-11,3.96E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
957.665,s,1.98E-10,4.49E-11,4.49E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
1010.716,s,1.41E-10,3.18E-11,3.18E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
