Time,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,HostGroup,SlopGroup
193190.4,s,0.033728731,0.001813352,0.001813352,mJy,Spectral Flux,6.28E+14,,,Hz,g,g_offset,g_host,slop
300499.2,s,0.022490546,0.00061293,0.00061293,mJy,Spectral Flux,6.28E+14,,,Hz,g,g_offset,g_host,slop
54086.4,s,0.28840315,0.022942594,0.022942594,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset,i_host,slop
566438.4,s,0.016595869,0.000746937,0.000746937,mJy,Spectral Flux,6.28E+14,,,Hz,g,g_offset,g_host,slop
194918.4,s,0.086297855,0.018377492,0.018377492,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset,i_host,slop
823824,s,0.015275661,0.000687518,0.000687518,mJy,Spectral Flux,6.28E+14,,,Hz,g,g_offset,g_host,slop
300499.2,s,0.047863009,0.0013044,0.0013044,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset,i_host,slop
460684.8,s,0.044463127,0.003912273,0.003912273,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset,i_host,slop
566438.4,s,0.040926066,0.001841976,0.001841976,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset,i_host,slop
725760,s,0.043651583,0.004567494,0.004567494,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset,i_host,slop
812246.4,s,0.040926066,0.001115349,0.001115349,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset,i_host,slop
823824,s,0.036643757,0.001649241,0.001649241,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset,i_host,slop
129600,s,0.069183097,0.00371948,0.00371948,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,r_host,slop
194140.8,s,0.04830588,0.004654297,0.004654297,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,r_host,slop
300412.8,s,0.03767038,0.000687562,0.000687562,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,r_host,slop
458784,s,0.031622777,0.00224628,0.00224628,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,r_host,slop
566438.4,s,0.031622777,0.001423259,0.001423259,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,r_host,slop
639878.4,s,0.030760968,0.000838322,0.000838322,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,r_host,slop
725241.6,s,0.029648314,0.001851181,0.001851181,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,r_host,slop
811468.8,s,0.02831392,0.000771633,0.000771633,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,r_host,slop
823824,s,0.029376497,0.00132216,0.00132216,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,r_host,slop
300499.2,s,0.067297666,0.001834048,0.001834048,mJy,Spectral Flux,3.28E+14,,,Hz,z,z_offset,z_host,slop
566438.4,s,0.054954087,0.002473341,0.002473341,mJy,Spectral Flux,3.28E+14,,,Hz,z,z_offset,z_host,slop
823824,s,0.0510505,0.002297651,0.002297651,mJy,Spectral Flux,3.28E+14,,,Hz,z,z_offset,z_host,slop
24290.439,s,5.03E-11,1.11E-11,1.11E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
24395.391,s,5.23E-11,1.16E-11,1.16E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
24511.435,s,3.96E-11,8.78E-12,8.78E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
24620.067,s,4.97E-11,1.12E-11,1.12E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
24741.151,s,3.26E-11,7.47E-12,7.47E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
24871.68,s,5.63E-11,1.28E-11,1.28E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
24976.599,s,4.10E-11,9.06E-12,9.06E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
25077.281,s,5.17E-11,1.18E-11,1.18E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
25199.621,s,3.79E-11,8.62E-12,8.62E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
25296.169,s,5.97E-11,1.35E-11,1.35E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
25423.026,s,3.63E-11,8.31E-12,8.31E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
25525.213,s,5.39E-11,1.21E-11,1.21E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
25627.752,s,4.49E-11,1.01E-11,1.01E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
25828.205,s,3.53E-11,6.08E-12,6.08E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
30234.934,s,3.52E-11,7.94E-12,7.94E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
30348.504,s,2.42E-11,5.44E-12,5.44E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
30475.875,s,2.99E-11,6.74E-12,6.74E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
30551.11,s,5.46E-11,1.22E-11,1.22E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
30617.926,s,4.35E-11,9.76E-12,9.76E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
30727.23,s,2.51E-11,5.64E-12,5.64E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
30831.047,s,3.92E-11,8.83E-12,8.83E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
30945.828,s,3.05E-11,6.53E-12,6.53E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
31026.866,s,3.76E-11,8.42E-12,8.42E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
31132.656,s,2.39E-11,5.39E-12,5.39E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
31265.685,s,3.26E-11,7.35E-12,7.35E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
31352.689,s,3.11E-11,6.98E-12,6.98E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
31471.25,s,2.94E-11,6.44E-12,6.44E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
31605.388,s,2.85E-11,6.00E-12,6.00E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
35313.462,s,3.41E-11,8.85E-12,8.85E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
36001.062,s,2.07E-11,4.63E-12,4.63E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
36124.314,s,1.90E-11,4.27E-12,4.27E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
36220.598,s,2.05E-11,4.60E-12,4.60E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
36323.013,s,1.60E-11,3.58E-12,3.58E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
36460.535,s,1.61E-11,3.60E-12,3.60E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
36559.712,s,3.62E-11,8.09E-12,8.09E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
36706.507,s,2.37E-11,5.34E-12,5.34E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
36848.118,s,2.69E-11,5.91E-12,5.91E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
36988.824,s,1.44E-11,3.22E-12,3.22E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
37081.99,s,2.37E-11,5.30E-12,5.30E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
37194.19,s,1.54E-11,3.31E-12,3.31E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
41333.635,s,1.50E-11,3.39E-12,3.39E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop
