Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup
7464.96,,,s,0.135518941,0.002473499,0.002473499,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
8277.12,,,s,0.124738351,0.002276731,0.002276731,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
28926.72,,,s,0.025351286,0.000462713,0.000462713,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
30473.28,,,s,0.02421029,0.001089643,0.001089643,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
30602.88,,,s,0.024888573,0.000678283,0.000678283,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
37497.6,,,s,0.017218686,0.000622817,0.000622817,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
40798.08,,,s,0.016904409,0.000611449,0.000611449,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
101969.28,,,s,0.004570882,0.000205724,0.000205724,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
113598.72,,,s,0.003944573,0.000246291,0.000246291,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
199739.52,,,s,0.001803018,0.000232655,0.000232655,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
203869.44,,,s,0.002187762,0.000228917,0.000228917,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
744.5952,,,s,1.21338885,0.043889459,0.043889459,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
804.59136,,,s,1.137627286,0.051201662,0.051201662,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
865.58976,,,s,1.106623784,0.049806275,0.049806275,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
925.59456,,,s,1.066596121,0.048004733,0.048004733,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
985.59072,,,s,1.076465214,0.057873826,0.057873826,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
1045.59552,,,s,0.972747224,0.043780837,0.043780837,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
1105.59168,,,s,0.937562007,0.042197241,0.042197241,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
1165.59648,,,s,0.963829024,0.051818184,0.051818184,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
1225.59264,,,s,0.855066713,0.053388649,0.053388649,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
1285.59744,,,s,0.801678063,0.050055169,0.050055169,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
1345.5936,,,s,0.862978548,0.046396176,0.046396176,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
1465.59456,,,s,0.794328235,0.049596261,0.049596261,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
1525.59072,,,s,0.831763771,0.044717981,0.044717981,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
1585.59552,,,s,0.779830111,0.048691027,0.048691027,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
1645.59168,,,s,0.912010839,0.117682605,0.117682605,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
1705.59648,,,s,0.73790423,0.052416004,0.052416004,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
1765.59264,,,s,0.765596607,0.047802316,0.047802316,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
1825.59744,,,s,0.73790423,0.046073259,0.046073259,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
1886.59584,,,s,0.744731974,0.052901003,0.052901003,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
1946.592,,,s,0.672976656,0.047803964,0.047803964,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
2006.5968,,,s,0.648634434,0.046074847,0.046074847,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
2066.59296,,,s,0.672976656,0.053535581,0.053535581,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
2126.59776,,,s,0.654636174,0.046501173,0.046501173,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
2186.59392,,,s,0.642687717,0.051126083,0.051126083,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
2426.59584,,,s,0.597035287,0.057524664,0.057524664,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
2486.592,,,s,0.539510623,0.047471087,0.047471087,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
2546.5968,,,s,0.501187234,0.048289654,0.048289654,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
2606.59296,,,s,0.529663444,0.042134954,0.042134954,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
2666.59776,,,s,0.597035287,0.042409574,0.042409574,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
2726.59392,,,s,0.496592321,0.056037458,0.056037458,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
2786.59008,,,s,0.440554864,0.049713968,0.049713968,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
2846.59488,,,s,0.519995997,0.050101888,0.050101888,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
2907.59328,,,s,0.478630092,0.054010528,0.054010528,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
2967.59808,,,s,0.52480746,0.054913352,0.054913352,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
3027.59424,,,s,0.534564359,0.047035869,0.047035869,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
3087.5904,,,s,0.534564359,0.047035869,0.047035869,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
3147.5952,,,s,0.444631267,0.046524097,0.046524097,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
3207.59136,,,s,0.483058802,0.04654297,0.04654297,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
3267.59616,,,s,0.373250158,0.054096372,0.054096372,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
3283.2,,,s,0.440554864,0.008041032,0.008041032,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
3327.59232,,,s,0.432513831,0.048806586,0.048806586,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
3387.59712,,,s,0.45289758,0.051106769,0.051106769,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
3447.59328,,,s,0.483058802,0.04654297,0.04654297,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
3507.59808,,,s,0.461317575,0.044448191,0.044448191,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
3567.59424,,,s,0.48752849,0.051012658,0.051012658,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
3627.5904,,,s,0.356451133,0.045995175,0.045995175,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
3687.5952,,,s,0.45289758,0.051106769,0.051106769,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
3747.59136,,,s,0.42854852,0.044841275,0.044841275,mJy,Spectral Flux,4.63E+14,,,Hz,Rc,R_offset
