Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,CalGroup
342.1000224,,,s,0.383730438,0.01767144,0.01767144,mJy,Spectral Flux,6.29E+14,,,Hz,g_offset
444.0999744,,,s,0.310474723,0.011438312,0.011438312,mJy,Spectral Flux,6.29E+14,,,Hz,g_offset
544.3000416,,,s,0.260631107,0.009602005,0.009602005,mJy,Spectral Flux,6.29E+14,,,Hz,g_offset
646.2999936,,,s,0.229100612,0.008440378,0.008440378,mJy,Spectral Flux,6.29E+14,,,Hz,g_offset
764.5999968,,,s,0.207026647,0.007627144,0.007627144,mJy,Spectral Flux,6.29E+14,,,Hz,g_offset
865.7000064,,,s,0.183664935,0.006766466,0.006766466,mJy,Spectral Flux,6.29E+14,,,Hz,g_offset
967.6999584,,,s,0.175398651,0.004846444,0.004846444,mJy,Spectral Flux,6.29E+14,,,Hz,g_offset
1067.900026,,,s,0.162939451,0.006002911,0.006002911,mJy,Spectral Flux,6.29E+14,,,Hz,g_offset
76.5000288,,,s,1.21346219,0.212351596,0.212351596,mJy,Spectral Flux,4.81E+14,,,Hz,r_offset
115.8000192,,,s,0.946294354,0.139451089,0.139451089,mJy,Spectral Flux,4.81E+14,,,Hz,r_offset
154.8999936,,,s,0.794376246,0.146329512,0.146329512,mJy,Spectral Flux,4.81E+14,,,Hz,r_offset
233.4000096,,,s,0.613799102,0.113065973,0.113065973,mJy,Spectral Flux,4.81E+14,,,Hz,r_offset
342.1000224,,,s,0.444658142,0.012286359,0.012286359,mJy,Spectral Flux,4.81E+14,,,Hz,r_offset
444.0999744,,,s,0.353204517,0.009759401,0.009759401,mJy,Spectral Flux,4.81E+14,,,Hz,r_offset
544.3000416,,,s,0.29924455,0.008268432,0.008268432,mJy,Spectral Flux,4.81E+14,,,Hz,r_offset
646.2999936,,,s,0.260631107,0.007201504,0.007201504,mJy,Spectral Flux,4.81E+14,,,Hz,r_offset
764.5999968,,,s,0.229100612,0.008440378,0.008440378,mJy,Spectral Flux,4.81E+14,,,Hz,r_offset
865.7000064,,,s,0.208942241,0.005773287,0.005773287,mJy,Spectral Flux,4.81E+14,,,Hz,r_offset
967.6999584,,,s,0.195896307,0.005412815,0.005412815,mJy,Spectral Flux,4.81E+14,,,Hz,r_offset
1067.900026,,,s,0.188810546,0.005217028,0.005217028,mJy,Spectral Flux,4.81E+14,,,Hz,r_offset
342.1000224,,,s,0.461345458,0.016996595,0.016996595,mJy,Spectral Flux,3.94E+14,,,Hz,i_offset
444.0999744,,,s,0.366459723,0.013500875,0.013500875,mJy,Spectral Flux,3.94E+14,,,Hz,i_offset
544.3000416,,,s,0.293782721,0.008117517,0.008117517,mJy,Spectral Flux,3.94E+14,,,Hz,i_offset
646.2999936,,,s,0.265476601,0.009780519,0.009780519,mJy,Spectral Flux,3.94E+14,,,Hz,i_offset
764.5999968,,,s,0.227000205,0.008362997,0.008362997,mJy,Spectral Flux,3.94E+14,,,Hz,i_offset
865.7000064,,,s,0.214796029,0.007913378,0.007913378,mJy,Spectral Flux,3.94E+14,,,Hz,i_offset
967.6999584,,,s,0.199538291,0.007351262,0.007351262,mJy,Spectral Flux,3.94E+14,,,Hz,i_offset
1067.900026,,,s,0.183664935,0.006766466,0.006766466,mJy,Spectral Flux,3.94E+14,,,Hz,i_offset
342.1000224,,,s,0.524839181,0.024169737,0.024169737,mJy,Spectral Flux,3.29E+14,,,Hz,z_offset
