Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,HostGroup
90301,,,s,0.03047895,0.0011025,0.0011025,mJy,Spectral Flux,6.29E+14,,,Hz,gprime,g_offset,
176419.3,,,s,0.01555966,0.0007003,0.0007003,mJy,Spectral Flux,6.29E+14,,,Hz,gprime,g_offset,
262409.8,,,s,0.01037528,0.0003753,0.0003753,mJy,Spectral Flux,6.29E+14,,,Hz,gprime,g_offset,
434653.3,,,s,0.00452898,0.0002038,0.0002038,mJy,Spectral Flux,6.29E+14,,,Hz,gprime,g_offset,
522187.8,,,s,0.00267917,0.0002803,0.0002803,mJy,Spectral Flux,6.29E+14,,,Hz,gprime,g_offset,
780505.6,,,s,0.00101859,0.0002459,0.0002459,mJy,Spectral Flux,6.29E+14,,,Hz,gprime,g_offset,
1901293.3,,,s,0.00048306,7.00E-05,7.00E-05,mJy,Spectral Flux,6.29E+14,,,Hz,gprime,g_offset,
2418484.6,,,s,0.00032509,5.22E-05,5.22E-05,mJy,Spectral Flux,6.29E+14,,,Hz,gprime,g_offset,
5185070,,,s,0.00020701,4.11E-05,4.11E-05,mJy,Spectral Flux,6.29E+14,,,Hz,gprime,g_offset,
90301,,,s,0.0394457,0.0014268,0.0014268,mJy,Spectral Flux,4.81E+14,,,Hz,rprime,r_offset,r_host
176419.3,,,s,0.0218776,0.0007913,0.0007913,mJy,Spectral Flux,4.81E+14,,,Hz,rprime,r_offset,r_host
262409.8,,,s,0.0144544,0.0005228,0.0005228,mJy,Spectral Flux,4.81E+14,,,Hz,rprime,r_offset,r_host
434653.3,,,s,0.0057016,0.0002062,0.0002062,mJy,Spectral Flux,4.81E+14,,,Hz,rprime,r_offset,r_host
522187.8,,,s,0.003767,0.0002352,0.0002352,mJy,Spectral Flux,4.81E+14,,,Hz,rprime,r_offset,r_host
780505.6,,,s,0.0014454,0.0001865,0.0001865,mJy,Spectral Flux,4.81E+14,,,Hz,rprime,r_offset,r_host
1901293.3,,,s,0.0006026,0.000115,0.000115,mJy,Spectral Flux,4.81E+14,,,Hz,rprime,r_offset,r_host
2418484.6,,,s,0.0003981,8.19E-05,8.19E-05,mJy,Spectral Flux,4.81E+14,,,Hz,rprime,r_offset,r_host
5185070,,,s,0.0003221,5.91E-05,5.91E-05,mJy,Spectral Flux,4.81E+14,,,Hz,rprime,r_offset,r_host
90301,,,s,0.0432514,0.0019466,0.0019466,mJy,Spectral Flux,3.94E+14,,,Hz,iprime,i_offset,i_host
176419.3,,,s,0.0255859,0.0011516,0.0011516,mJy,Spectral Flux,3.94E+14,,,Hz,iprime,i_offset,i_host
262409.8,,,s,0.0175388,0.0006344,0.0006344,mJy,Spectral Flux,3.94E+14,,,Hz,iprime,i_offset,i_host
434653.3,,,s,0.006792,0.0003652,0.0003652,mJy,Spectral Flux,3.94E+14,,,Hz,iprime,i_offset,i_host
522187.8,,,s,0.0049204,0.0004741,0.0004741,mJy,Spectral Flux,3.94E+14,,,Hz,iprime,i_offset,i_host
780505.6,,,s,0.0019055,0.0002911,0.0002911,mJy,Spectral Flux,3.94E+14,,,Hz,iprime,i_offset,i_host
90301,,,s,0.0501187,0.0018128,0.0018128,mJy,Spectral Flux,3.29E+14,,,Hz,zprime,z_offset,
176419.3,,,s,0.0283139,0.0012743,0.0012743,mJy,Spectral Flux,3.29E+14,,,Hz,zprime,z_offset,
262409.8,,,s,0.0214783,0.0009667,0.0009667,mJy,Spectral Flux,3.29E+14,,,Hz,zprime,z_offset,
434653.3,,,s,0.0090365,0.0004858,0.0004858,mJy,Spectral Flux,3.29E+14,,,Hz,zprime,z_offset,
522187.8,,,s,0.0046989,0.0004527,0.0004527,mJy,Spectral Flux,3.29E+14,,,Hz,zprime,z_offset,
780505.6,,,s,0.0014588,0.0003,0.0003,mJy,Spectral Flux,3.29E+14,,,Hz,zprime,z_offset,
90323.39998,,,s,0.0619441,0.0033303,0.0033303,mJy,Spectral Flux,2.40E+14,,,Hz,J,J_offset,
176442.6,,,s,0.037325,0.0016799,0.0016799,mJy,Spectral Flux,2.40E+14,,,Hz,J,J_offset,
262434,,,s,0.0293765,0.0013222,0.0013222,mJy,Spectral Flux,2.40E+14,,,Hz,J,J_offset,
434677.5,,,s,0.0093756,0.000666,0.000666,mJy,Spectral Flux,2.40E+14,,,Hz,J,J_offset,
