Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,HostGroup
793.2,,,s,0.349945167,0.079549331,0.079549331,mJy,Spectral Flux,1.55E+15,,,Hz,uvw2,uvw2_offset,
1196.4,,,s,0.313328572,0.073445281,0.073445281,mJy,Spectral Flux,1.55E+15,,,Hz,uvw2,uvw2_offset,
8010,,,s,0.044874539,0.013251762,0.013251762,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset,
670.2,,,s,0.401790811,0.108025846,0.108025846,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset,
19218,,,s,0.034994517,0.006418611,0.006418611,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset,
36240,,,s,0.021086281,0.00523735,0.00523735,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,
694.8,,,s,0.711213514,0.114178227,0.114178227,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,
1098,,,s,0.244343055,0.065694298,0.065694298,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,
1270.2,,,s,0.366437575,0.083298375,0.083298375,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,
1442.4,,,s,0.304789499,0.075702734,0.075702734,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,
1616.4,,,s,0.145881426,0.052125225,0.052125225,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,
1789.2,,,s,0.190546072,0.059928983,0.059928983,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,
1962.6,,,s,0.124738351,0.047470293,0.047470293,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,
2134.8,,,s,0.343557948,0.078097392,0.078097392,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,
5650.2,,,s,0.110662378,0.01776574,0.01776574,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,
25080,,,s,0.022490546,0.005894677,0.005894677,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,
309,,,s,1.445439771,0.163109188,0.163109188,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,
319.2,,,s,1.106623784,0.14279476,0.14279476,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,
328.8,,,s,1.148153621,0.148153621,0.148153621,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,
339,,,s,1.169499391,0.141483093,0.141483093,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,
349.2,,,s,1.037528416,0.133878942,0.133878942,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,
358.8,,,s,1.047128548,0.135117709,0.135117709,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,
