Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,,
675,,,s,1.258925412,0.089426021,0.089426021,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
739.8,,,s,1.224616199,0.086988913,0.086988913,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
793.2000384,,,s,1.137627286,0.080809777,0.080809777,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
823.2000192,,,s,1.096478196,0.077886808,0.077886808,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
853.7999616,,,s,1.066596121,0.066596121,0.066596121,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
883.8000288,,,s,1.037528416,0.073699392,0.073699392,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
916.7999904,,,s,1.028016298,0.064187275,0.064187275,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
946.7999712,,,s,0.972747224,0.06909775,0.06909775,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
977.9999616,,,s,0.990831945,0.061865558,0.061865558,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
1126.800029,,,s,0.839459987,0.052414197,0.052414197,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
1270.20001,,,s,0.744731974,0.04649957,0.04649957,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
1426.199962,,,s,0.672976656,0.042019312,0.042019312,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
1588.80001,,,s,0.597035287,0.037277685,0.037277685,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
1750.199962,,,s,0.534564359,0.037972038,0.037972038,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
1890,,,s,0.501187234,0.031293125,0.031293125,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
2053.20001,,,s,0.44874539,0.028018762,0.028018762,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
2215.799971,,,s,0.40926066,0.025553414,0.025553414,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
2378.999981,,,s,0.35318317,0.022052048,0.022052048,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
2542.19999,,,s,0.331131121,0.020675163,0.020675163,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
2701.799971,,,s,0.313328572,0.022256861,0.022256861,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
2926.200038,,,s,0.285759054,0.017842222,0.017842222,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
3121.2,,,s,0.291071712,0.018173934,0.018173934,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
3331.200038,,,s,0.260615355,0.0162723,0.0162723,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
3553.799962,,,s,0.251188643,0.015683715,0.015683715,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
3949.199971,,,s,0.244343055,0.01735657,0.01735657,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
4168.200038,,,s,0.218776162,0.015540461,0.015540461,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
4379.999962,,,s,0.253512863,0.018007935,0.018007935,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
4572.000029,,,s,0.246603934,0.017517168,0.017517168,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
4957.799962,,,s,0.229086765,0.014303718,0.014303718,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
5179.80001,,,s,0.229086765,0.016272861,0.016272861,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
5623.800019,,,s,0.207014135,0.014704962,0.014704962,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
5815.8,,,s,0.203235701,0.014436566,0.014436566,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
6042.000038,,,s,0.203235701,0.014436566,0.014436566,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
6246.000029,,,s,0.173780083,0.012344227,0.012344227,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
6450.000019,,,s,0.172186857,0.012231055,0.012231055,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
6882.000019,,,s,0.169044093,0.012007813,0.012007813,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
7086.00001,,,s,0.14723125,0.010458368,0.010458368,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
7314.000019,,,s,0.169044093,0.012007813,0.012007813,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,
206.187,,,s,4.89E-09,6.01E-10,-6.01E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
206.8653,,,s,6.39E-09,8.02E-10,-8.02E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
207.4518,,,s,5.75E-09,7.12E-10,-7.12E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
208.0166,,,s,5.84E-09,7.14E-10,-7.14E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
208.6361,,,s,5.99E-09,7.42E-10,-7.42E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
209.2348,,,s,5.61E-09,6.85E-10,-6.85E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
209.847,,,s,5.11E-09,6.42E-10,-6.42E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
210.5066,,,s,5.57E-09,6.89E-10,-6.89E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
211.1845,,,s,4.85E-09,5.92E-10,-5.92E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
