Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits
3376.254,,,s,7.78E-08,3.17E-09,3.17E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3381.482,,,s,9.22E-08,3.67E-09,3.67E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3386.421,,,s,8.45E-08,3.38E-09,3.38E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3391.608,,,s,8.21E-08,3.29E-09,3.29E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3396.83,,,s,8.38E-08,3.37E-09,3.37E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3402.133,,,s,8.62E-08,3.45E-09,3.45E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3407.352,,,s,8.26E-08,3.30E-09,3.30E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3412.592,,,s,8.12E-08,3.24E-09,3.24E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3417.883,,,s,8.35E-08,3.31E-09,3.31E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3423.1,,,s,8.10E-08,3.30E-09,3.30E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3428.597,,,s,8.02E-08,3.17E-09,3.17E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3433.928,,,s,8.26E-08,3.30E-09,3.30E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3439.36,,,s,7.99E-08,3.23E-09,3.23E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3444.856,,,s,7.56E-08,3.06E-09,3.06E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3450.769,,,s,7.55E-08,3.03E-09,3.03E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3456.297,,,s,8.11E-08,3.25E-09,3.25E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3461.747,,,s,7.85E-08,3.17E-09,3.17E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3467.159,,,s,8.55E-08,3.42E-09,3.42E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3472.455,,,s,7.92E-08,3.17E-09,3.17E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3478.072,,,s,8.08E-08,3.24E-09,3.24E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3483.601,,,s,7.95E-08,3.17E-09,3.17E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3488.73,,,s,8.77E-08,3.47E-09,3.47E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3494.097,,,s,8.23E-08,3.26E-09,3.26E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3499.616,,,s,7.23E-08,2.95E-09,2.95E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3505.827,,,s,7.50E-08,3.00E-09,3.00E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3511.571,,,s,7.81E-08,3.16E-09,3.16E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3517.36,,,s,7.19E-08,2.92E-09,2.92E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3523.327,,,s,7.65E-08,3.05E-09,3.05E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3529.029,,,s,7.64E-08,3.09E-09,3.09E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3534.464,,,s,8.03E-08,3.25E-09,3.25E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3539.836,,,s,8.43E-08,3.35E-09,3.35E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3545.236,,,s,7.91E-08,3.17E-09,3.17E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3550.954,,,s,8.15E-08,3.28E-09,3.28E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3556.307,,,s,7.73E-08,3.09E-09,3.09E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
3561.97,,,s,8.11E-08,3.28E-09,3.28E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
