Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,,
5875.2,,,s,0.356451133,0.05025479,0.05025479,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,,-1.167491087
8233.92,,,s,0.177010896,0.020552094,0.020552094,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,,-1.020907099
9020.16,,,s,0.178155814,0.011431093,0.011431093,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,,-0.981299501
11612.16,,,s,0.139701156,0.010162317,0.010162317,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,,-0.871600731
13184.64,,,s,0.081133461,0.019189353,0.019189353,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,,-0.816445466
13962.24,,,s,0.084488967,0.010357943,0.010357943,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,,-0.791558644
14783.04,,,s,0.094536605,0.007520427,0.007520427,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,,-0.76674999
16735.68,,,s,0.100184377,0.011141332,0.011141332,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,,-0.712870379
9408.96,,,s,0.229086765,0.011115121,0.011115121,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,-0.96297212
10100.16,,,s,0.194267432,0.007543493,0.007543493,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,-0.932185489
67582.08,,,s,0.013551894,0.00095104,0.00095104,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,-0.106682188
70182.72,,,s,0.014073431,0.000878717,0.000878717,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,-0.090283547
72800.64,,,s,0.013677288,0.000959839,0.000959839,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,-0.074378545
78995.52,,,s,0.008472274,0.00186534,0.00186534,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,-0.03891128
79004.16,,,s,0.008248975,0.001574763,0.001574763,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,,-0.038863783
4173.12,,,s,0.58452084,0.047983441,0.047983441,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,,-1.316052869
4674.24,,,s,0.59319844,0.050698118,0.050698118,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,,-1.266802735
5106.24,,,s,0.521915266,0.020266209,0.020266209,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,,-1.228412519
5495.04,,,s,0.577032135,0.029007603,0.029007603,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,,-1.196542884
7836.48,,,s,0.302273448,0.026088504,0.026088504,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,,-1.042392713
8622.72,,,s,0.302830769,0.011759058,0.011759058,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,,-1.000869459
11223.36,,,s,0.210280984,0.010202678,0.010202678,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,,-0.886390849
13573.44,,,s,0.194804955,0.026537549,0.026537549,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,,-0.803823815
15171.84,,,s,0.151077573,0.013039147,0.013039147,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,,-0.755475488
15958.08,,,s,0.148047132,0.011777213,0.011777213,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,,-0.733533105
51105.6,,,s,0.037325016,0.003874717,0.003874717,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,,-0.228045251
51831.36,,,s,0.050118723,0.002650825,0.002650825,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,,-0.221921138
67754.88,,,s,0.018879913,0.001661228,0.001661228,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,,-0.105573162
71202.24,,,s,0.014723125,0.000919282,0.000919282,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,,-0.084020086
73984.32,,,s,0.018213776,0.001602615,0.001602615,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,,-0.067374056
77829.12,,,s,0.011178924,0.001160486,0.001160486,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,,-0.045371622
78001.92,,,s,0.014335076,0.003156152,0.003156152,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,,-0.04440845
84188.16,,,s,0.013464803,0.001508415,0.001508415,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,,-0.011262725
79971.84,,,s,0.012145069,0.00276081,0.00276081,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,,-0.033576654
182269.44,,,s,0.002654606,0.001040247,0.001040247,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset,,0.324200117
8087.04,,,s,0.49249293,0.029898925,0.029898925,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,,-1.028724151
8173.44,,,s,0.574910182,0.036888224,0.036888224,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,,-1.024108864
8259.84,,,s,0.523359365,0.029958394,0.029958394,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,,-1.019542108
8346.24,,,s,0.393006741,0.032262007,0.032262007,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,,-1.015022874
8432.64,,,s,0.511917528,0.030635106,0.030635106,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset,,-1.010550182
7318.08,,,s,0.490681857,0.017312653,0.017312653,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,,-1.07211659
7473.6,,,s,0.458352917,0.014130982,0.014130982,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,,-1.062983893
7560,,,s,0.493400971,0.015651737,0.015651737,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,,-1.057991947
7637.76,,,s,0.476869998,0.014701862,0.014701862,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,,-1.053547735
7724.16,,,s,0.490681857,0.01512768,0.01512768,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,,-1.048662481
7810.56,,,s,0.487079666,0.015016625,0.015016625,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,,-1.04383157
7896.96,,,s,0.451647905,0.01432724,0.01432724,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,,-1.039053804
932.9999904,,,s,2.220240395,0.440322375,0.440322375,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,,-1.966632103
1242.999994,,,s,1.413839139,0.182436727,0.182436727,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,,-1.842042616
18575.00001,,,s,0.266931606,0.083953133,0.083953133,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,,-0.66758492
22163.00003,,,s,0.111275614,0.02449954,0.02449954,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,,-0.590885195
35638.00001,,,s,0.138803367,0.030560322,0.030560322,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset,,-0.384600419
904.0000032,,,s,1.408639946,0.236984272,0.236984272,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,,-1.98034531
1034.000035,,,s,1.204481129,0.116052391,0.116052391,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,,-1.921993189
12671.00004,,,s,0.194446442,0.029706086,0.029706086,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,,-0.83370285
16182.00003,,,s,0.177337262,0.025702072,0.025702072,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,,-0.727481545
30031.00004,,,s,0.062632536,0.023835371,0.023835371,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,,-0.458943948
33898,,,s,0.024479357,0.008306006,0.008306006,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset,,-0.406339667
890.0000064,,,s,4.479195313,0.787719731,0.787719731,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,-1.987123733
974.9999808,,,s,4.357124805,0.799173499,0.799173499,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,-1.947509135
12018.99997,,,s,0.504893756,0.073175912,0.073175912,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,-0.856645408
28663.99998,,,s,0.168732989,0.040735927,0.040735927,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,-0.479176948
29379.99997,,,s,0.178319977,0.029999881,0.029999881,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,-0.468461951
41040,,,s,0.059047294,0.023138568,0.023138568,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,-0.32330639
877.0000032,,,s,2.488857318,0.493595003,0.493595003,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,,-1.993514148
960.999984,,,s,3.564511334,0.599679945,0.599679945,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,,-1.953790362
6761.000016,,,s,0.839459987,0.045131752,0.045131752,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,,-1.106502806
28110.99997,,,s,0.114815362,0.01843246,0.01843246,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,,-0.487637448
40584.99997,,,s,0.052966344,0.015983526,0.015983526,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,,-0.328148192
863.0000064,,,s,5.039645636,1.073213757,1.073213757,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset,,-2.000502944
946.9999872,,,s,4.638739668,1.0213108,1.0213108,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset,,-1.960163769
5983.999978,,,s,1.231402412,0.066203689,0.066203689,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset,,-1.159522159
24006.99997,,,s,0.22202404,0.035643742,0.035643742,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset,,-0.556175851
39682.99996,,,s,0.110255433,0.026618134,0.026618134,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset,,-0.337909246
51257.00002,,,s,0.062287371,0.022256043,0.022256043,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset,,-0.226760558
919.9999872,,,s,2.244915508,0.461715735,0.461715735,mJy,Spectral Flux,1.55E+15,,,Hz,uvw2,uvw2_offset,,-1.972725921
1139.999962,,,s,1.97333128,0.140172851,0.140172851,mJy,Spectral Flux,1.55E+15,,,Hz,uvw2,uvw2_offset,,-1.879608906
17972.99997,,,s,0.173460263,0.019573948,0.019573948,mJy,Spectral Flux,1.55E+15,,,Hz,uvw2,uvw2_offset,,-0.681893169
34805.99998,,,s,0.06534314,0.013439239,0.013439239,mJy,Spectral Flux,1.55E+15,,,Hz,uvw2,uvw2_offset,,-0.394859627
5915.461,,,s,9.46E-11,2.13E-11,2.13E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
6007.673,,,s,1.20E-10,2.69E-11,2.69E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
6111.402,,,s,9.74E-11,2.20E-11,2.20E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
6215.105,,,s,1.15E-10,2.51E-11,2.51E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
6315.492,,,s,8.21E-11,1.85E-11,1.85E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
6414.126,,,s,1.47E-10,3.28E-11,3.28E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
6511.396,,,s,8.58E-11,1.93E-11,1.93E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
6630.086,,,s,1.09E-10,2.45E-11,2.45E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
6746.844,,,s,7.14E-11,1.62E-11,1.62E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
6903.309,,,s,7.37E-11,1.49E-11,1.49E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
11593.463,,,s,3.26E-11,7.33E-12,7.33E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
11727.398,,,s,4.42E-11,9.97E-12,9.97E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
11873.125,,,s,5.15E-11,1.16E-11,1.16E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
12025.866,,,s,3.99E-11,8.99E-12,8.99E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
12149.668,,,s,3.41E-11,7.65E-12,7.65E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
12291.252,,,s,3.13E-11,7.09E-12,7.09E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
12504.491,,,s,5.29E-11,1.19E-11,1.19E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
12700.18,,,s,2.58E-11,4.78E-12,4.78E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
17421.473,,,s,1.91E-11,4.82E-12,4.82E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
17954.761,,,s,2.10E-11,4.78E-12,4.78E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
18335.884,,,s,2.49E-11,4.87E-12,4.87E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
23448.708,,,s,1.23E-11,2.61E-12,2.61E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
28847.894,,,s,8.76E-12,1.83E-12,1.83E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
36214.668,,,s,6.91E-12,1.20E-12,1.20E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
77437.611,,,s,2.96E-12,7.09E-13,7.09E-13,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
97012.026,,,s,1.69E-12,4.64E-13,4.64E-13,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
155089.043,,,s,5.89E-13,1.71E-13,1.71E-13,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
170765.825,,,s,6.12E-13,1.53E-13,1.53E-13,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
380351.909,,,s,1.27E-13,3.32E-14,3.32E-14,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
911683.028,,,s,1.02E-13,3.40E-14,3.40E-14,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
1070196.191,,,s,9.55E-14,3.07E-14,3.07E-14,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,
101068,,,s,-2.10E+00,4.00E-01,5.00E-01,erg cm-2 s-1,Spectral Index,,7.25E+16,2.42E+18,Hz,xray,,,
