Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup
86158.08,,,s,0.018879913,0.001341108,0.001341108,mJy,Spectral Flux,4.35E+14,,,Hz,R,R1_offset
244987.2,,,s,0.004613176,0.001015682,0.001015682,mJy,Spectral Flux,4.35E+14,,,Hz,R,R1_offset
79047.36,,,s,0.019769696,0.003325979,0.003325979,mJy,Spectral Flux,6.86E+14,,,Hz,B,B1_offset
76645.44,,,s,0.045289758,0.002827802,0.002827802,mJy,Spectral Flux,4.81E+14,,,Hz,r,r1_offset
76792.32,,,s,0.03801894,0.002700623,0.002700623,mJy,Spectral Flux,4.81E+14,,,Hz,r,r1_offset
76947.84,,,s,0.031915379,0.002808207,0.002808207,mJy,Spectral Flux,4.81E+14,,,Hz,r,r1_offset
77112,,,s,0.044463127,0.002776188,0.002776188,mJy,Spectral Flux,4.81E+14,,,Hz,r,r1_offset
77258.88,,,s,0.034994517,0.00337174,0.00337174,mJy,Spectral Flux,4.81E+14,,,Hz,r,r1_offset
77414.4,,,s,0.036982818,0.003254087,0.003254087,mJy,Spectral Flux,4.81E+14,,,Hz,r,r1_offset
77578.56,,,s,0.041686938,0.002961174,0.002961174,mJy,Spectral Flux,4.81E+14,,,Hz,r,r1_offset
77734.08,,,s,0.041686938,0.004361923,0.004361923,mJy,Spectral Flux,4.81E+14,,,Hz,r,r1_offset
77880.96,,,s,0.040926066,0.00461826,0.00461826,mJy,Spectral Flux,4.81E+14,,,Hz,r,r1_offset
78036.48,,,s,0.040926066,0.003943248,0.003943248,mJy,Spectral Flux,4.81E+14,,,Hz,r,r1_offset
78183.36,,,s,0.03908409,0.003109156,0.003109156,mJy,Spectral Flux,4.81E+14,,,Hz,r,r1_offset
78338.88,,,s,0.03767038,0.003629561,0.003629561,mJy,Spectral Flux,4.81E+14,,,Hz,r,r1_offset
78494.4,,,s,0.034994517,0.003079138,0.003079138,mJy,Spectral Flux,4.81E+14,,,Hz,r,r1_offset
78649.92,,,s,0.042072663,0.002988573,0.002988573,mJy,Spectral Flux,4.81E+14,,,Hz,r,r1_offset
78796.8,,,s,0.046558609,0.003703757,0.003703757,mJy,Spectral Flux,4.81E+14,,,Hz,r,r1_offset
78952.32,,,s,0.042072663,0.004053723,0.004053723,mJy,Spectral Flux,4.81E+14,,,Hz,r,r1_offset
79107.84,,,s,0.03908409,0.003438976,0.003438976,mJy,Spectral Flux,4.81E+14,,,Hz,r,r1_offset
79254.72,,,s,0.035974934,0.003764246,0.003764246,mJy,Spectral Flux,4.81E+14,,,Hz,r,r1_offset
79410.24,,,s,0.03944573,0.003470797,0.003470797,mJy,Spectral Flux,4.81E+14,,,Hz,r,r1_offset
