Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup
5843.599978,,,s,0.575439937,0.030937284,0.030937284,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
11763.60002,,,s,0.244343055,0.019437595,0.019437595,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
12066.59998,,,s,0.255858589,0.019266619,0.019266619,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
12369.60003,,,s,0.201372425,0.018562403,0.018562403,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
29912.09999,,,s,0.088715601,0.017921023,0.017921023,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
47261.09998,,,s,0.027289778,0.001996798,0.001996798,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
5228.600026,,,s,0.648634434,0.017677089,0.017677089,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset
6664.599994,,,s,0.45289758,0.016381748,0.016381748,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset
28814.10002,,,s,0.082413812,0.008826998,0.008826998,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset
46161.10002,,,s,0.03801894,0.007819422,0.007819422,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset
5023.600042,,,s,0.591561634,0.016121697,0.016121697,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset
6459.60001,,,s,0.432513831,0.011787203,0.011787203,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset
18451.59998,,,s,0.110662378,0.005949524,0.005949524,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset
18724.09997,,,s,0.101859139,0.00635988,0.00635988,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset
28592.09997,,,s,0.063095734,0.00528613,0.00528613,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset
45939.09997,,,s,0.029107171,0.004218598,0.004218598,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset
6253.600032,,,s,0.316227766,0.011438267,0.011438267,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset
17845.59997,,,s,0.080167806,0.002899748,0.002899748,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset
28262.10001,,,s,0.043651583,0.003287044,0.003287044,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset
45608.10002,,,s,0.024660393,0.002580346,0.002580346,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset
6048.599962,,,s,0.328095293,0.014766721,0.014766721,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset
12695.60002,,,s,0.105681751,0.006598556,0.006598556,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset
16938.59999,,,s,0.077268059,0.003477635,0.003477635,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset
30336.60004,,,s,0.034355795,0.003022938,0.003022938,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset
47683.60004,,,s,0.017218686,0.002290742,0.002290742,mJy,Spectral Flux,1.33E+15,,,Hz,uvm2,uvm2_offset
67991.99996,,,s,0.028575905,0.002273226,0.002273226,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset
68963.99996,,,s,0.030199517,0.002145181,0.002145181,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset
27987.60004,,,s,0.092896639,0.00580028,0.00580028,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset
29355.60001,,,s,0.081658237,0.006495948,0.006495948,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset
33089.99999,,,s,0.071779429,0.002596332,0.002596332,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset
34321.19999,,,s,0.064268772,0.007775074,0.007775074,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset
3232.999958,,,s,1.674942876,0.332177915,0.332177915,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
24499.20004,,,s,0.103752842,0.011707884,0.011707884,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
25188.59998,,,s,0.099083194,0.006186556,0.006186556,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
26588.39999,,,s,0.100925289,0.010560341,0.010560341,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
25878.59997,,,s,0.119124201,0.004308839,0.004308839,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset
27314.40001,,,s,0.105681751,0.004756462,0.004756462,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset
28683.59999,,,s,0.098174794,0.005278156,0.005278156,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset
33694.20003,,,s,0.089536477,0.004029805,0.004029805,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset
34874.40001,,,s,0.081658237,0.020844737,0.020844737,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset
70487.99997,,,s,0.034040819,0.00123129,0.00123129,mJy,Spectral Flux,3.93E+14,,,Hz,i,i_offset
24742.8,,,s,0.124738351,0.009922989,0.009922989,mJy,Spectral Flux,3.43E+14,,,Hz,I,I_offset
4976.359,,,s,1.95E-10,3.94E-11,3.94E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,
4998.123,,,s,3.28E-10,7.18E-11,7.18E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,
5022.222,,,s,2.49E-10,5.62E-11,5.62E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,
5042.3,,,s,3.78E-10,8.31E-11,8.31E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,
5059.581,,,s,3.59E-10,8.04E-11,8.04E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,
5078.195,,,s,3.64E-10,7.62E-11,7.62E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,
