Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup
4924.8,,,s,0.62673015,0.022391583,0.022391583,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
5097.6,,,s,0.60852803,0.020969818,0.020969818,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
5356.8,,,s,0.579536225,0.019970763,0.019970763,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
5788.8,,,s,0.541851884,0.024132252,0.024132252,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
6307.2,,,s,0.494630153,0.017671963,0.017671963,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
6998.4,,,s,0.457383599,0.016341232,0.016341232,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
7344,,,s,0.40990252,0.042970276,0.042970276,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
7516.8,,,s,0.431201823,0.011558071,0.011558071,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
8208,,,s,0.402420955,0.006363496,0.006363496,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
8812.8,,,s,0.371091142,0.014430527,0.014430527,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
9072,,,s,0.40131056,0.013574397,0.013574397,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
9158.4,,,s,0.384309029,0.033628272,0.033628272,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
9331.2,,,s,0.374180015,0.009067727,0.009067727,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
9676.8,,,s,0.354063035,0.009490418,0.009490418,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
10195.2,,,s,0.329215738,0.009877931,0.009877931,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
10886.4,,,s,0.310084878,0.007514471,0.007514471,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
12182.4,,,s,0.28647095,0.005461181,0.005461181,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
12787.2,,,s,0.258631005,0.012807295,0.012807295,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
13046.4,,,s,0.256968913,0.0135205,0.0135205,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
13305.6,,,s,0.276109016,0.004725627,0.004725627,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
13651.2,,,s,0.256732345,0.005559124,0.005559124,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
14169.6,,,s,0.24092429,0.007382568,0.007382568,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
14860.8,,,s,0.233496614,0.004299775,0.004299775,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
15379.2,,,s,0.231569089,0.007391092,0.007391092,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
16156.8,,,s,0.218716017,0.00628287,0.00628287,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
16588.8,,,s,0.222782251,0.013091621,0.013091621,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
16848,,,s,0.195290262,0.007963008,0.007963008,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
17107.2,,,s,0.198189475,0.006451847,0.006451847,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
17452.8,,,s,0.20543791,0.005901441,0.005901441,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
18057.6,,,s,0.196734528,0.003495028,0.003495028,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
18662.4,,,s,0.182423418,0.004185646,0.004185646,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
19267.2,,,s,0.187189114,0.002837995,0.002837995,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
20044.8,,,s,0.172774875,0.004852578,0.004852578,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
20390.4,,,s,0.158737884,0.012297392,0.012297392,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
20649.6,,,s,0.175339833,0.007589609,0.007589609,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
20908.8,,,s,0.171033266,0.005567806,0.005567806,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
21254.4,,,s,0.166065948,0.003703159,0.003703159,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
21772.8,,,s,0.15285533,0.004488687,0.004488687,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
41040,,,s,0.063078388,0.006504594,0.006504594,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
41299.2,,,s,0.066051181,0.006432113,0.006432113,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
41558.4,,,s,0.096356405,0.007864632,0.007864632,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
42163.2,,,s,0.078465833,0.010834659,0.010834659,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
42422.4,,,s,0.084855615,0.001120242,0.001120242,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
42422.4,,,s,0.084232674,0.011494557,0.011494557,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset
