Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup
588.9600288,,,s,0.450816705,0.032408685,0.032408685,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
667.8000288,,,s,0.467735141,0.039186621,0.039186621,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
746.9999712,,,s,0.47599238,0.029308788,0.029308788,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
825.8399712,,,s,0.43411021,0.04290917,0.04290917,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
903.96,,,s,0.38583356,0.032324947,0.032324947,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
982.8,,,s,0.401790811,0.032303099,0.032303099,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1060.920029,,,s,0.387971657,0.035438476,0.035438476,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1139.039971,,,s,0.40926066,0.03943248,0.03943248,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1217.879971,,,s,0.383354001,0.035977849,0.035977849,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1296.719971,,,s,0.425794454,0.030245719,0.030245719,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1374.84,,,s,0.361409863,0.038709094,0.038709094,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1452.960029,,,s,0.335737614,0.036511151,0.036511151,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1531.800029,,,s,0.382648487,0.045361178,0.045361178,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1609.919971,,,s,0.369487712,0.041694467,0.041694467,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1688.759971,,,s,0.320626932,0.043167176,0.043167176,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1766.88,,,s,0.299226464,0.038370962,0.038370962,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1845.72,,,s,0.394457302,0.044189675,0.044189675,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1923.840029,,,s,0.329609712,0.040142086,0.040142086,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
2003.039971,,,s,0.411907785,0.038657627,0.038657627,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
2080.799971,,,s,0.347696245,0.040369752,0.040369752,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
588.9600288,,,s,0.450816705,0.032408685,0.032408685,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
667.8000288,,,s,0.467735141,0.039186621,0.039186621,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
746.9999712,,,s,0.47599238,0.029308788,0.029308788,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
825.8399712,,,s,0.43411021,0.04290917,0.04290917,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
903.96,,,s,0.38583356,0.032324947,0.032324947,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
982.8,,,s,0.401790811,0.032303099,0.032303099,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1060.920029,,,s,0.387971657,0.035438476,0.035438476,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1139.039971,,,s,0.40926066,0.03943248,0.03943248,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1217.879971,,,s,0.383354001,0.035977849,0.035977849,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1296.719971,,,s,0.425794454,0.030245719,0.030245719,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1374.84,,,s,0.361409863,0.038709094,0.038709094,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1452.960029,,,s,0.335737614,0.036511151,0.036511151,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1531.800029,,,s,0.382648487,0.045361178,0.045361178,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1609.919971,,,s,0.369487712,0.041694467,0.041694467,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1688.759971,,,s,0.320626932,0.043167176,0.043167176,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1766.88,,,s,0.299226464,0.038370962,0.038370962,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1845.72,,,s,0.394457302,0.044189675,0.044189675,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
1923.840029,,,s,0.329609712,0.040142086,0.040142086,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
2003.039971,,,s,0.411907785,0.038657627,0.038657627,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
2080.799971,,,s,0.347696245,0.040369752,0.040369752,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
2280.96,,,s,0.369147558,0.018557174,0.018557174,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
2599.199971,,,s,0.310455959,0.015606727,0.015606727,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
3283.2,,,s,0.286022369,0.015127986,0.015127986,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
3924.72,,,s,0.285759054,0.014864671,0.014864671,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
4566.959971,,,s,0.272144775,0.014631276,0.014631276,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
5208.120029,,,s,0.223460106,0.013179122,0.013179122,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
5849.999971,,,s,0.224284882,0.012058192,0.012058192,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
6492.240029,,,s,0.214783047,0.011172627,0.011172627,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
7134.119971,,,s,0.198975681,0.010350357,0.010350357,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
7775.280029,,,s,0.192132131,0.012493391,0.012493391,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
8417.159971,,,s,0.172663285,0.016348521,0.016348521,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
9059.04,,,s,0.156602972,0.010721546,0.010721546,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
9700.199971,,,s,0.169044093,0.010700681,0.010700681,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
10342.08,,,s,0.163983443,0.009813397,0.009813397,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
10983.96003,,,s,0.167803108,0.008582235,0.008582235,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
11626.2,,,s,0.153886315,0.008541347,0.008541347,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
12267.00003,,,s,0.142036512,0.009235924,0.009235924,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
12909.24,,,s,0.129897263,0.009781501,0.009781501,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
13551.12003,,,s,0.143615065,0.01479011,0.01479011,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
14192.28,,,s,0.162480034,0.019919274,0.019919274,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
15476.03997,,,s,0.132312233,0.015146666,0.015146666,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
16118.28003,,,s,0.120337227,0.014460624,0.014460624,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
16759.07997,,,s,0.132800589,0.011461704,0.011461704,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
17400.96,,,s,0.098627949,0.010644699,0.010644699,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
18043.19997,,,s,0.120559101,0.045466007,0.045466007,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
18684,,,s,0.127291675,0.01560535,0.01560535,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
21251.16,,,s,0.094102248,0.008121742,0.008121742,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset
2805.120029,,,s,0.267670186,0.01901358,0.01901358,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset
3453.84,,,s,0.290001337,0.019106954,0.019106954,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset
4096.079971,,,s,0.223254386,0.017191395,0.017191395,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset
4737.96,,,s,0.218574755,0.018127552,0.018127552,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset
5379.119971,,,s,0.221411411,0.017049479,0.017049479,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset
6021,,,s,0.189147236,0.012462106,0.012462106,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset
6662.880029,,,s,0.1900203,0.013984905,0.013984905,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset
7304.04,,,s,0.162031704,0.010675579,0.010675579,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset
7945.920029,,,s,0.148593564,0.013945535,0.013945535,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset
8588.16,,,s,0.13652117,0.01462221,0.01462221,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset
9230.040029,,,s,0.127291675,0.013947292,0.013947292,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset
9870.839971,,,s,0.132556186,0.011774803,0.011774803,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset
