Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup
43649.28,,,s,0.070469307,0.011313143,0.011313143,mJy,Spectral Flux,4.35E+14,,,Hz,R,R1_offset
44340.48,,,s,0.059156163,0.013024406,0.013024406,mJy,Spectral Flux,4.35E+14,,,Hz,R,R1_offset
45023.04,,,s,0.03801894,0.01403061,0.01403061,mJy,Spectral Flux,4.35E+14,,,Hz,R,R1_offset
45982.08,,,s,0.031045596,0.009368555,0.009368555,mJy,Spectral Flux,4.35E+14,,,Hz,R,R1_offset
46526.4,,,s,0.043251383,0.011628607,0.011628607,mJy,Spectral Flux,4.35E+14,,,Hz,R,R1_offset
47226.24,,,s,0.043251383,0.00727645,0.00727645,mJy,Spectral Flux,4.35E+14,,,Hz,R,R1_offset
5843.599978,,,s,0.570164272,0.03065365,0.03065365,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v2_offset
11763.60002,,,s,0.242102905,0.01925939,0.01925939,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v2_offset
12066.59998,,,s,0.253512863,0.019089982,0.019089982,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v2_offset
12369.60003,,,s,0.199526231,0.018392222,0.018392222,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v2_offset
29912.09999,,,s,0.087902252,0.017756722,0.017756722,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v2_offset
47261.09998,,,s,0.027039584,0.001978491,0.001978491,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v2_offset
5228.600026,,,s,0.575439937,0.015682336,0.015682336,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b2_offset
6664.599994,,,s,0.401790811,0.014533166,0.014533166,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b2_offset
28814.10002,,,s,0.073113908,0.007830924,0.007830924,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b2_offset
